,text,served_dish,spatial_relation,city,timeRange,country,restaurant_type,restaurant_name,sort,cuisine,party_size_description,facility,poi,state,party_size_number
534,I need to book a restaurant for seven people at elevenses  Seafood restaurant,,,,elevenses,,restaurant,Seafood restaurant,,,,,,,seven
535,I'd like to book a table at Black Horse Tavern in Georgia at 4 am,,,,4 am,,,Black Horse Tavern,,,,,,Georgia,
536,book Tartine in Mississippi for 5,,,,,,,Tartine,,,,,,Mississippi,5
537,I'd like to eat at the best  restaurant ,,,,,,restaurant,,best,,,,,,
538,Book a table for ten for breakfast in Minnesota .,,,,breakfast,,,,,,,,,Minnesota,ten
539,Please book a room to accommodate one  in 11 weeks  near  Bahamas  restaurant,,near,,in 11 weeks,Bahamas,restaurant,,,,,,,,one
540,Lets eat at Newport Creamery in Carnot,,,Carnot,,,,Newport Creamery,,,,,,,
541,I need a reservation for four at a restaurant  in 1 hour and 1 second,,,,in 1 hour and 1 second,,restaurant,,,,,,,,four
542,book any popular  puglia serving oyster bar for 10 in Jemez Springs,,,Jemez Springs,,,oyster bar,,popular,puglia,,,,,10
543,Book a table at South Street Diner  close to your teenager's college .,,close,,,,,South Street Diner,,,,,your teenager's college,,
544,I want to book a restaurant in Keeling Islands for a party of ten,,,,,Keeling Islands,restaurant,,,,,,,,ten
545,I need a reservation for a churrascaria in Oneonta  Wyoming for a party of 4,,,Oneonta,,,churrascaria,,,,,,,Wyoming,4
546,book a spot for 7 at an outdoor  food court in Denmark,,,,,Denmark,food court,,,,,outdoor,,,7
547,Book a restaurant in Almyra  in 10 years ,,,Almyra,in 10 years,,restaurant,,,,,,,,
548,Find a reservation within walking distance of pauline's place for a party of 10 at fourteen o'clock at a restaurant that serves aioli,aioli,within walking distance,,fourteen o'clock,,restaurant,,,,,,pauline's place,,10
549,Can you make a reservation for next year in Modesto for joanna and ella,,,Modesto,next year,,,,,,joanna and ella,,,,
550,"Want a table at Montyâs Hotel, Secunderabad in the state of Vermont",,,,,,,"Montyâs Hotel, Secunderabad",,,,,,Vermont,
551,"I would like reservations made for Masonville , Vermont  nov. 7",,,Masonville,nov. 7,,,,,,,,,Vermont,
552,book a socca serving steakhouse for 2 in Saint James  Alabama,socca,,Saint James,,,steakhouse,,,,,,,Alabama,2
553,Book a table for nine people in Svalbard and Jan Mayen .,,,,,Svalbard and Jan Mayen,,,,,,,,,nine
554,I need to find a table for 4 at a brasserie that has fondue,fondue,,,,,brasserie,,,,,,,,4
555,I need a restaurant that can seat 3 in Cochran that has wifi .,,,Cochran,,,restaurant,,,,,wifi,,,3
556,I need a table for 10 at the best  gastropub,,,,,,gastropub,,best,,,,,,10
557,Make me a reservation that serves kebab at a delicatessen in AMbler,kebab,,AMbler,,,delicatessen,,,,,,,,
558,Book a table at a french  restaurant for fern and I,,,,,,restaurant,,,french,fern and I,,,,
559,I need a reservation for a highly rated  bistro for a party of 10 .,,,,,,bistro,,highly rated,,,,,,10
560,I want to book a pub in Juniper for 8 that serves bÃ»che de noÃ«l,bÃ»che de noÃ«l,,Juniper,,,pub,,,,,,,,8
561,book a mediterranean  restaurant for my sister and I,,,,,,restaurant,,,mediterranean,my sister and I,,,,
562,book a pub in Clermont for 8 people,,,Clermont,,,pub,,,,,,,,8
563,"Book reservations at restaurant in Edgemoor  NM on august 3, 2024",,,Edgemoor,"august 3, 2024",,restaurant,,,,,,,NM,
564,I would like to book a restaurant for two in 42 weeks from now in Wagram,,,Wagram,42 weeks from now,,restaurant,,,,,,,,two
565,Book a restaurant in Everson  Nevada that serves conchiglie for two people.,conchiglie,,Everson,,,restaurant,,,,,,,Nevada,two
566,Please book a restaurant for ten members near  downtown at 20:38,,near,,20:38,,restaurant,,,,,,downtown,,ten
567,"Book a table for 6 in The Cheese Course , Blocher on February the 10th .",,,Blocher,February the 10th,,,The Cheese Course,,,,,,,6
568,"Book a table for me, naomi and elisabeth at a brasserie with wifi",,,,,,brasserie,,,,"me, naomi and elisabeth",wifi,,,
569,need a table at a highly rated  south tyrolean  joint,,,,,,joint,,highly rated,south tyrolean,,,,,
570,Make me a reservation for a party of 6 at a pub at five o'clock in Arizona that serves waffles in the city of Hat Creek,waffles,,Hat Creek,five o'clock,,pub,,,,,,,Arizona,6
571,restaurant  scandinavian in Grenada,,,,,Grenada,restaurant,,,scandinavian,,,,,
572,Can I get some russian cuisine at a restaurant with shari and I ?,,,,,,restaurant,,,russian,shari and I,,,,
573,Can you get me a table reserved for three hundred thirty three days from now for eight people at a highly rated  fast food place that serves north indian food not distant from Moores Mill,,not distant,Moores Mill,three hundred thirty three days from now,,fast food,,highly rated,north indian,,,,,eight
574,Book an osteria that serves blini for 9 people.,blini,,,,,osteria,,,,,,,,9
575,Please book a brasserie restaurant for eight in Ireland,,,,,Ireland,brasserie restaurant,,,,,,,,eight
576,book a table for 2 in Gleed ,,,Gleed,,,,,,,,,,,2
577,Book reservations at a restaurant that serves brazilian food for 9 people,,,,,,restaurant,,,brazilian,,,,,9
578,Book an outdoor  restaurant .,,,,,,restaurant,,,,,outdoor,,,
579,book verdure serving restaurant in Bloom City,verdure,,Bloom City,,,restaurant,,,,,,,,
580,book a restaurant in AL at Oak Ridge,,,Oak Ridge,,,restaurant,,,,,,,AL,
581,I want to take nine people to a diner  close to the spa,,close,,,,diner,,,,,spa,,,nine
582,book a spot at a highly rated  afghan  restaurant,,,,,,restaurant,,highly rated,afghan,,,,,
583,Book a reservation for Thomas Hynes House on jan. the third in Netherlands,,,,jan. the third,Netherlands,,Thomas Hynes House,,,,,,,
584,"Book a reservation for leticia, melva and twila edwards at Glassy Junction for five pm  within the same area of our secondary residence",,within the same area,,five pm,,,Glassy Junction,,,"leticia, melva and twila edwards",,our secondary residence,,
585,I want to book a food court for 5 at 1 am,,,,1 am,,food court,,,,,,,,5
586,Find a reservation at Berowra Waters Inn in Australia  in 2 years ,,,,in 2 years,Australia,,Berowra Waters Inn,,,,,,,
587,book a table in Fullerville at a highly rated  bar,,,Fullerville,,,bar,,highly rated,,,,,,
588,Can you get seating for my father and I at a restaurant in Birch Run,,,Birch Run,,,restaurant,,,,my father and I,,,,
589,Book a best  restaurant in Wrigley .,,,Wrigley,,,restaurant,,best,,,,,,
590,I need a table for 8 people at a highly rated  pub that serves umbrian cuisine,,,,,,pub,,highly rated,umbrian,,,,,8
591,I'd like seats for ten at a highly rated  brasserie in Kyrgyzstan,,,,,Kyrgyzstan,brasserie,,highly rated,,,,,,ten
592,Book a restaurant with parking for three people.,,,,,,restaurant,,,,,parking,,,three
593,"Book a table for 2 at The Mustard Seed , Agate .",,,Agate,,,,The Mustard Seed,,,,,,,2
594,Book me a bar where I can get a bear claw in AS,bear claw,,,,,bar,,,,,,,AS,
595,Find me a table for me and my grandkid in Union Square Cafe,,,,,,,Union Square Cafe,,,me and my grandkid,,,,
596,stacy watson and adriana want to go to the best  osteria in Hallowell  Minnesota this afternoon,,,Hallowell,afternoon,,osteria,,best,,stacy watson and adriana,,,Minnesota,
597,I'd like to eat at Old Dutch  in 15 seconds in Northern Mariana Islands,,,,in 15 seconds,,,Old Dutch,,,,,,Northern Mariana Islands,
598,book a table at a pool  bar,,,,,,bar,,,,,pool,,,
599,"I want to eat Louisiana Fried Chicken in McColl , IA",,,McColl,,,,Louisiana Fried Chicken,,,,,,IA,
600,book a table in Tennessee for 1 for next August,,,,next August,,,,,,,,,Tennessee,1
601,I'd like to eat at the oyster bar for a party of one that has internet,,,,,,oyster bar,,,,,internet,,,one
602,I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas  FM,,,Uncas,,,,David Carpenter House,,,jacqueline wilson and deanna,,,FM,
603,Book a restaurant for one person at 7 AM,,,,7 AM,,restaurant,,,,,,,,one
604,Book a brasserie that serves mezzes in Iowa .,mezzes,,,,,brasserie,,,,,,,Iowa,
605,Would like to book a restaurant the last day of sukkot for lee and ines,,,,last day of sukkot,,restaurant,,,,lee and ines,,,,
606,book Red Crown Tourist Court  now for ten  not far from Tin City,,not far,Tin City,now,,,Red Crown Tourist Court,,,,,,,ten
607,I would like to find a cafe that serves grilled meat  close by in Tunisia and need a table for 2  one second from now .,grilled meat,close by,,one second from now,Tunisia,cafe,,,,,,,,2
608,at 4 am book a bar in the spa in Shamrock for eight,,,Shamrock,4 am,,bar,,,,,spa,,,eight
609,Book a table at an indoor  restaurant  now .,,,,now,,restaurant,,,,,indoor,,,
610,I want a table for 8 in Plain on Aug. 5,,,Plain,Aug. 5,,,,,,,,,,8
611,Book a highly rated  coffeehouse for four people.,,,,,,coffeehouse,,highly rated,,,,,,four
612,I want to eat supper at a Lesotho plaCE,,,,supper,Lesotho,,,,,,,,,
613,Restaurant in Durant for 3 PM,,,Durant,3 PM,,Restaurant,,,,,,,,
614,Lets go to the Rainforest Cafe that is in the same area as 135th St,,in the same area,,,,,Rainforest Cafe,,,,,135th St,,
615,I'd like a bar with hawaiian food in ND,,,,,,bar,,,hawaiian,,,,ND,
616,"Book a table for 1 on November the first, 2022",,,,"November the first, 2022",,,,,,,,,,1
617,Can you get me seating for a party of 5,,,,,,,,,,,,,,5
618,Book a popular  restaurant in New Jersey .,,,,,,restaurant,,popular,,,,,New Jersey,
619,Book a bar which serves chicken french at Robinson .,chicken french,,Robinson,,,bar,,,,,,,,
620,Find me a creole  restaurant,creole,,,,,restaurant,,,,,,,,
621,I'd like to get reservations at a top-rated  restaurant in Arkansas .,,,,,,restaurant,,top-rated,,,,,Arkansas,
622,I want to book a bistro that serves pasta salad in Brazil .,pasta salad,,,,Brazil,bistro,,,,,,,,
623,Make me a reservation somewhere outdoor in Port Wentworth for a party of five at a coffeehouse  in ten months that is distant,,distant,Port Wentworth,in ten months,,coffeehouse,,,,,outdoor,,,five
624,book a spot at a steakhouse with internet,,,,,,steakhouse,,,,,internet,,,
625,Book a table for cherie and josephine in Indonesia,,,,,Indonesia,,,,,cherie and josephine,,,,
626,book a spot at the top-rated  pub in Garner,,,Garner,,,pub,,top-rated,,,,,,
627,Book a table at a faraway  brasserie in NJ .,,faraway,,,,brasserie,,,,,,,NJ,
628,book a table in Greece for 4,,,,,Greece,,,,,,,,,4
629,I need to book a table at a fast food spot that serves slinger in PR,slinger,,,,,fast food,,,,,,,PR,
630,book a spot for one at a pub that serves som tam,som tam,,,,,pub,,,,,,,,one
631,Book a distant  restaurant that serves blini on 103rd St for 6 people.,blini,distant,,,,restaurant,,,,,,103rd St,,6
632,"casey chavez, lucinda and karina want to eat at a diner on december the 7th",,,,december the 7th,,diner,,,,"casey chavez, lucinda and karina",,,,
633,Book a restaurant for 9 people.,,,,,,restaurant,,,,,,,,9
634,book a table at Serendipity 3 in Veyo for now,,,Veyo,now,,,Serendipity 3,,,,,,,
635,book a best  steakhouse for 2 in Montserrat on 79 days and a half from now,,,,79 days and a half from now,Montserrat,steakhouse,,best,,,,,,2
636,book a bar for 2 in Hayden Row on friday,,,Hayden Row,friday,,bar,,,,,,,,2
637,I want to book the best  pub for 6 in New Mexico,,,,,,pub,,best,,,,,New Mexico,6
638,"bar restaurant for November the twelfth, 2030 that is popular and for a party of ten",,,,"November the twelfth, 2030",,bar restaurant,,popular,,,,,,ten
639,book a pizza serving tavern for me and my brother,pizza,,,,,tavern,,,,me and my brother,,,,
640,I'd like to reserve a table in Northcote .,,,,,,,Northcote,,,,,,,
641,"Please book a restaurant for six members on Jul. 13, 2036",,,,"Jul. 13, 2036",,restaurant,,,,,,,,six
642,Book a restaurant with a spa in Connecticut,,,,,,restaurant,,,,,spa,,Connecticut,
643,book a spot for elise and alma at a brasserie in Ravensdale  MH for this week,,,Ravensdale,this week,,brasserie,,,,elise and alma,,,MH,
644,"book a spot for five at a brasserie on jan. 7, 2023",,,,"jan. 7, 2023",,brasserie,,,,,,,,five
645,Book a bar with a pool in Mountain Iron .,,,Mountain Iron,,,bar,,,,,pool,,,
646,book a table with wifi in Delaware at a restaurant  in one minute,,,,in one minute,,restaurant,,,,,wifi,,Delaware,
647,I need to book a highly rated  restaurant in Coronado,,,Coronado,,,restaurant,,highly rated,,,,,,
648,Make me a reservation in Cedarburg at 0 pm,,,Cedarburg,0 pm,,,,,,,,,,
649,Book a reservation for a trentino  restaurant in Kansas,,,,,,restaurant,,,trentino,,,,Kansas,
650,book me and my grandparents a restaurant in Saint Helens  South Dakota,,,Saint Helens,,,restaurant,,,,me and my grandparents,,,South Dakota,
651,Reserve a table for teresa and elnora at a fast food joint which serves fish and chips,fish and chips,,,,,fast food joint,,,,teresa and elnora,,,,
652,I want a restaurant reservation for a party of 8 at a vegetarian  tea house .,,,,,,tea house,,,vegetarian,,,,,8
653,I need a reservation for four  this year at a restaurant,,,,this year,,restaurant,,,,,,,,four
654,book a table in Fairview  neighboring the area,,area,,,,,,,,,,Fairview,,
655,Need a jewish in Maine to book a restaurant,,,,,,restaurant,,,jewish,,,,Maine,
656,book spot at a balinese  joint,,,,,,joint,,,balinese,,,,,
657,I want a restaurant in Idaho for 2 of us.,,,,,,restaurant,,,,,,,Idaho,2
658,Book a tyrolean  restaurant in Crocker  Indiana  now for 3 people.,,,Crocker,now,,restaurant,,,tyrolean,,,,Indiana,3
659,"Can I book a restaurant that serves pastelaria in Takilma , Virgin Islands ?",,,Takilma,,,restaurant,,,pastelaria,,,,Virgin Islands,
660,I want to book an indoor  brasserie  within walking distance in ME .,,within walking distance,,,,brasserie,,,,,indoor,,ME,
661,"I want to go to the pub with angelita, susan reed and ashlee watson after us parking",,,,,,pub,,,,"angelita, susan reed and ashlee watson",parking,,,
662,Book a restaurant in Gate City for 5 people.,,,Gate City,,,restaurant,,,,,,,,5
663,book a spot for six at a restaurant that serves fish and chips,fish and chips,,,,,restaurant,,,,,,,,six
664,book a spot for 9 at Dinner in the Sky in SC,,,,,,,Dinner in the Sky,,,,,,SC,9
665,Book a taverna in Equatorial Guinea  this month for nine people.,,,,this month,Equatorial Guinea,taverna,,,,,,,,nine
666,book a stracciatella provider coffeehouse for 10,stracciatella,,,,,coffeehouse,,,,,,,,10
667,Book reservations at a faraway  restaurant in Newtown at meal time,,faraway,,meal,,restaurant,,,,,,Newtown,,
668,reserve a spotat the food truck  twelve weeks from now,,,,twelve weeks from now,,food truck,,,,,,,,
669,Book a reservation for a restaurant in Palau  in six years ,,,,in six years,,restaurant,,,,,,,Palau,
670,restaurant in West Virginia for my son and I,,,,,,restaurant,,,,my son and I,,,West Virginia,
671,I'd like to reserve a table at a pub that serves andouillettes  within the same area in San Marino .,andouillettes,within the same area,,,San Marino,pub,,,,,,,,
672,Book me a reestaurant that is close in the country of Cocos Islands,,close,,,Cocos Islands,,,,,,,,,
673,I need a table for 10 at Thomas Hynes House  nineteen minutes from now,,,,nineteen minutes from now,,,Thomas Hynes House,,,,,,,10
674,Please find a restaurant in Sierraville  Wyoming that has room for 6,,,Sierraville,,,restaurant,,,,,,,Wyoming,6
675,Need a table for sep. first in Haiti for a party of three,,,,sep. first,Haiti,,,,,,,,,three
676,Table for five at a restaurant in Lavina,,,Lavina,,,restaurant,,,,,,,,five
677,book me a taverna restaurant,,,,,,taverna restaurant,,,,,,,,
678,I want to book the best  steakhouse with south american cuisines in Alaska,,,,,,steakhouse,,best,south american,,,,Alaska,
679,Find a reservation for mar. 20th in Winnie at any restaurant,,,Winnie,mar. 20th,,restaurant,,,,,,,,
680,Book a food truck in MP for me and my ex husband .,,,,,,food truck,,,,me and my ex husband,,,MP,
681,I need a table for 3 at David Whitney House in Brazil,,,,,Brazil,,David Whitney House,,,,,,,3
682,book a table for 2 guests at a restaurant in Lazy Mountain  NY,,,Lazy Mountain,,,restaurant,,,,,,,NY,2
683,Find a table close by in the downtown  area for sherri and I,,area,,,,,,,,sherri and I,,downtown,,
684,sofia phillips and winifred walker want to dine at a mughlai  restaurant in LA on Nov. the 1st,,,,Nov. the 1st,,restaurant,,,mughlai,sofia phillips and winifred walker,,,LA,
685,Can you book a table for eight people at a spa type restaurant  within walking distance of the Metropolitan Borough of Lambeth,,within walking distance,,,,restaurant,,,,,spa,Metropolitan Borough of Lambeth,,eight
686,book a spot for me and my sister at a restaurant that has clafoutis,clafoutis,,,,,restaurant,,,,me and my sister,,,,
687,make a table reservation at the top-rated  brasserie in Cotton Center,,,Cotton Center,,,brasserie,,top-rated,,,,,,
688,restaurant in South Sudan for 6,,,,,South Sudan,restaurant,,,,,,,,6
689,Book a party for 7 at a food court with potato salad in Alabama  in eleven hours ,potato salad,,,in eleven hours,,food court,,,,,,,Alabama,7
690,in 1 second I need a restaurant in San Marino for 9,,,,in 1 second,San Marino,restaurant,,,,,,,,9
691,I want to reserve a gastropub that has a spa .,,,,,,gastropub,,,,,spa,,,
692,book a spot at the best  steakhouse in Florida,,,,,,steakhouse,,best,,,,,Florida,
693,Find a reservation at a restaurant that serves gougÃ¨re in Laneville with a party of nine,gougÃ¨re,,Laneville,,,restaurant,,,,,,,,nine
694,book a restaurant for six in MP,,,,,,restaurant,,,,,,,MP,six
695,book a table in Glennie for 1 in the Northern Mariana Islands,,,Glennie,,,,,,,,,,Northern Mariana Islands,1
696,I want a table for 2 at a restaurant late at night .,,,,night,,restaurant,,,,,,,,2
697,"restaurant in Elberta for alma, deana and olga at 18:49:20 that serves tsipouro",,,Elberta,18:49:20,,restaurant,,,tsipouro,"alma, deana and olga",,,,
698,"I'd like a table for ten  in 2 minutes at French Horn, Sonning Eye",,,,in 2 minutes,,,"French Horn, Sonning Eye",,,,,,,ten
699,book close-by for 1 in South Dakota,,close-by,,,,,,,,,,,South Dakota,1
700,Book a table for chasity ruiz and mary at The Fat Duck in Puerto Rico,,,,,Puerto Rico,,The Fat Duck,,,chasity ruiz and mary,,,,
701,I would like to book a restaurant  neighboring  Lincoln Beach,,neighboring,Lincoln Beach,,,restaurant,,,,,,,,
702,Book a spot for one at a fish  restaurant,fish,,,,,restaurant,,,,,,,,one
703,Lets eat now somewhere in Roach,,,Roach,now,,,,,,,,,,
704,my colleagues and I would like a restaurant in Snow Lake,,,Snow Lake,,,restaurant,,,,my colleagues and I,,,,
705,"book tea at The Hamburger Wagon for 3  vickie reed, melody and I in Georgia",,,,tea,Georgia,,The Hamburger Wagon,,,"vickie reed, melody and I",,,,3
706,book a cafeteria for 5 in Turkmenistan,,,,,Turkmenistan,cafeteria,,,,,,,,5
707,I want to eat close to Bowlegs  seven years from now,,close,Bowlegs,seven years from now,,,,,,,,,,
708,book a spot for seven at a brasserie with ginestrata,ginestrata,,,,,brasserie,,,,,,,,seven
709,I'd like to eat at a bar that serves corn relish with a party of five,corn relish,,,,,bar,,,,,,,,five
710,Can you get me seating for 5 people 1 minute from now in Tuvalu,,,,1 minute from now,Tuvalu,,,,,,,,,5
711,Book me a reservation for 6 at a highly rated  pub,,,,,,pub,,highly rated,,,,,,6
712,I want a table for 7 at a popular  cafeteria on Holy Saturday in GA,,,,Holy Saturday,,cafeteria,,popular,,,,,GA,7
713,Find a reservation for three in Ansonia  MI,,,Ansonia,,,,,,,,,,MI,three
714,book a table at the Irma Hotel in Mount Repose,,,Mount Repose,,,,Irma Hotel,,,,,,,
715,I'd like seats for one at a restaurant  in 1 hour at a place in La Madera that has parking,,,La Madera,in 1 hour,,restaurant,,,,,parking,,,one
716,book a brasserie with a pool  within the same area as my neighborhood for 5 people at 19:26,,within the same area,,19:26,,brasserie,,,,,pool,neighborhood,,5
717,Book a joint restaurant for four with an outdoor  area within the same area as Borough de Denali,,area within the same area,,,,joint restaurant,,,,,outdoor,Borough de Denali,,four
718,Find a reservation at Boone Tavern for 4 people in 10:24,,,,10:24,,,Boone Tavern,,,,,,,4
719,book a restaurant for Jul. 27,,,,Jul. 27,,restaurant,,,,,,,,
720,book a restaurant on martin luther king jr. day with parking,,,,martin luther king jr. day,,restaurant,,,,,parking,,,
721,I want to be Main Deli Steak House  near  Hendley .,,near,Hendley,,,,Main Deli Steak House,,,,,,,
722,I need a reservation for 3 hours from now with a party of nine in neighboring  Sweden,,neighboring,,3 hours from now,Sweden,,,,,,,,,nine
723,Want to eat at The Meatball Shop that's within walking distance of erica's campus,,within walking distance,,,,,The Meatball Shop,,,,,erica's campus,,
724,book a spot for five  in the same area as 72nd St,,in the same area,,,,,,,,,,72nd St,,five
725,Find me a table at a european  bar for six in the neighboring  downtown  area ,,area,,,,bar,,,european,,,downtown,,six
726,I'd like to eat salads at a restaurant,salads,,,,,restaurant,,,,,,,,
727,"Book a table for 3 at one of the Restaurants in Washington, D.C. in Riverview",,,Riverview,,,,"Restaurants in Washington, D.C.",,,,,,,3
728,book a spot for one at four AM,,,,four AM,,,,,,,,,,one
729,Book a close by  brasserie in NC .,,close by,,,,brasserie,,,,,,,NC,
730,book a meal for four in DC,,,,meal,,,,,,,,,DC,four
731,Book reservations not far from our neighborhood for a party of 2,,not far,,,,,,,,,,neighborhood,,2
732,"Please book a coffeehouse restaurant type room to accommodate gretchen, trisha and amber which serves pastelaria dish",,,,,,coffeehouse restaurant,,,pastelaria,"gretchen, trisha and amber",,,,
733,"Book a bar for six on July eighth, 2023  in the same area in Equatorial Guinea which serves rillettes .",rillettes,in the same area,,"July eighth, 2023",Equatorial Guinea,bar,,,,,,,,six
734,Find me a table for four somewhere,,,,,,,,,,,,,,four
735,Book Mars 2112 in Rwanda for 4 people.,,,,,Rwanda,,Mars 2112,,,,,,,4
736,Book a restaurant that serves pasta for 5 people.,pasta,,,,,restaurant,,,,,,,,5
737,Book a restaurant for 3 people at eighteen oclock in Saint Vincent and the Grenadines .,,,,eighteen,Saint Vincent and the Grenadines,restaurant,,,,,,,,3
738,I want to eat at a Escondida  South Carolina  restaurant for 8 people,,,Escondida,,,restaurant,,,,,,,South Carolina,8
739,book a table for ten  downtown at a close-by  restaurant,,close-by,,,,restaurant,,,,,,downtown,,ten
740,Book a restaurant for 3 in New Mexico .,,,,,,restaurant,,,,,,,New Mexico,3
741,I need a pub with a smoking room in Ucolo reserved.,,,Ucolo,,,pub,,,,,smoking room,,,
742,"I'd like a reservation at a place in Iran for neva, alice and maggie parker .",,,,,Iran,,,,,"neva, alice and maggie parker",,,,
743,book a restaurant for 4 by shawn's work  close by,,close by,,,,restaurant,,,,,,shawn's work,,4
744,I'd like to eat at an outdoor  restaurant,,,,,,restaurant,,,,,outdoor,,,
745,I want to go to 88th St-Boyd Av or close by and book seats for 10,,close,,,,,,,,,,88th St-Boyd Av,,10
746,Can I get a table at The Fort ?,,,,,,,The Fort,,,,,,,
747,Lets go eat this fall at any restaurant that has parking in Finland,,,,this fall,Finland,restaurant,,,,,parking,,,
748,"book a spot for gay ramos, janice gonzales and I at a bar in Timbo",,,Timbo,,,bar,,,,"gay ramos, janice gonzales and I",,,,
749,I want to book a restaurant  in the same area where I live in MA for ebony and yolanda .,,in the same area,,,,restaurant,,,,ebony and yolanda,,,MA,
750,Book me a restaurant for nine in Statham,,,Statham,,,restaurant,,,,,,,,nine
751,book french food for me and angeline at a restaurant,,,,,,restaurant,,,french,me and angeline,,,,
752,I need a table in one hour from now at somewhere not far from LA,,not far,,in one hour,,,,,,,,,LA,
753,"Book reservations at a restaurant in Niue for me, edna and glenda",,,,,Niue,restaurant,,,,"me, edna and glenda",,,,
754,book a highly rated place in IN  in seven years at a pub,,,,in seven years ,,pub,,highly rated,,,,,IN,
755,book a spot for seven at a bar with chicken french,chicken french,,,,,bar,,,,,,,,seven
756,"Please book me a restaurant reservation at First Watch in Douglas , Maine .",,,Douglas,,,restaurant,First Watch,,,,,,Maine,
757,book a spot at a pub that has trottole for their meal,trottole,,,meal,,pub,,,,,,,,
758,I want to dine in Luray,,,Luray,,,,,,,,,,,
759,book in Bolivia a brasserie for tourte food,tourte,,,,Bolivia,brasserie,,,,,,,,
760,I'd like to eat at a neighboring  downtown  restaurant with a party of 2,,neighboring,,,,restaurant,,,,,,downtown,,2
761,book Bridge Round House for one at meal time in Democratic Republic of the Congo  close ,,close,,meal,Democratic Republic of the Congo,,Bridge Round House,,,,,,,one
762,book a restaurant for tortelloni for eight,tortelloni,,,,,restaurant,,,,,,,,eight
763,I would like to book Thomas Hynes House for 6 in Minnesota,,,,,,,Thomas Hynes House,,,,,,Minnesota,6
764,Book a table for my granddaughter and I at the restaurant .,,,,,,restaurant,,,,my granddaughter and I,,,,
765,Book a restaurant reservation in Hong Kong,,,,,Hong Kong,restaurant,,,,,,,,
766,find an outdoor facility for midday in Datil at a pub for six,,,Datil,midday,,pub,,,,,outdoor,,,six
767,Book a table for 10 at Top Pot Doughnuts,,,,,,,Top Pot Doughnuts,,,,,,,10
768,book a table for chasity and I in Vanuatu,,,,,Vanuatu,,,,,chasity and I,,,,
769,"Please book seating for one person at an indoor  restaurant that serves breakfast in Nicholasville , Tennessee",,,Nicholasville,breakfast,,restaurant,,,,,indoor,,Tennessee,one
770,I'd like to go to a pizzeria  within walking distance of Hutchinson,,within walking distance,Hutchinson,,,pizzeria,,,,,,,,
771,Get me reservations for seven at a restaurant in PW that serves tourte .,tourte,,,,,restaurant,,,,,,,PW,seven
772,"book a restaurant in Fort Gates , FL",,,Fort Gates,,,restaurant,,,,,,,FL,
773,"I'd like to go to the Venetian Theatre in Gabon , party of seven",,,,,Gabon,,Venetian Theatre,,,,,,,seven
774,Book me a restaurant that serves festoni for eight in New Hampshire,festoni,,,,,restaurant,,,,,,,New Hampshire,eight
775,book a spot for one at a food court in Riddlesburg,,,Riddlesburg,,,food court,,,,,,,,one
776,Book a party of 4 at Eddieâs Attic,,,,,,,Eddieâs Attic,,,,,,,4
777,Find me a nice restaurant in Mulvane .,,,Mulvane,,,restaurant,,,,,,,,
778,my great grandfather and I would like to get together at a taverna .,,,,,,taverna,,,,my great grandfather and I,,,,
779,"book a table in Mississippi on May nineteenth, 2034 for me, silvia and sandy",,,,"May nineteenth, 2034",,,,,,"me, silvia and sandy",,,Mississippi,
780,"in eight seconds , I'd like reservations at a food court that serves sardinian food in Pidcoke .",,,Pidcoke,in eight seconds,,food court,,,sardinian,,,,,
781,I want to book a restaurant for ten  this summer,,,,this summer,,restaurant,,,,,,,,ten
782,"Book a reservation for one at an italian  taverna for two PM in Hutchings , North Dakota",,,Hutchings,two PM,,taverna,,,italian,,,,North Dakota,one
783,book a churrascaria in Macao on May the twenty-third,,,,May the twenty-third,Macao,churrascaria,,,,,,,,
784,Book a reservation for a pub serving gateau in MS,gateau,,,,,pub,,,,,,,MS,
785,Book a reservation for six for a tyrolean  oyster bar,,,,,,oyster bar,,,tyrolean,,,,,six
786,Book me a reservation for Fatty Crew  in 13 weeks in Haskell,,,Haskell,in 13 weeks,,,Fatty Crew,,,,,,,
787,Make me a reservation at a fast food restaurant for elba and corina at a restaurant with parking,,,,,,restaurant,,,,elba and corina,parking,,,
788,book Itsu for Tonight,,,,Tonight,,,Itsu,,,,,,,
789,book The Kegs Drive-In  in 37 weeks in Saudi Arabia,,,,in 37 weeks,Saudi Arabia,,The Kegs Drive-In,,,,,,,
790,I'd like a table at a top-rated  tea house with javanese cuisine this week in Germany,,,,this week,Germany,tea house,,top-rated,javanese,,,,,
791,book a restaurant for me and my mother in law in Montserrat,,,,,Montserrat,restaurant,,,,me and my mother in law,,,,
792,Book me a table at a top-rated  tea house in Suriname,,,,,Suriname,tea house,,top-rated,,,,,,
793,I want seats for four at a place in RI,,,,,,,,,,,,,RI,four
794,book a spot for selma and molly at a steakhouse with saucisse that is close-by  McSherrystown,saucisse,close-by,,,,steakhouse,,,,selma and molly,,McSherrystown,,
795,Book a restaurant in the Maldives  in one second .,,,,in one second,Maldives,restaurant,,,,,,,,
796,Reserve me a resturant for 5 at seventeen o'clock,,,,seventeen o'clock,,,,,,,,,,5
797,book a tavern on lincoln's birthday/lincoln's day,,,,lincoln's birthday/lincoln's day,,tavern,,,,,,,,
