,text,year,playlist,music_item,sort,artist,service,genre,track,album
373,"Play me Gil Parris 's A Cup Of Coffee, A Sandwich And You",,,,,Gil Parris,,,"A Cup Of Coffee, A Sandwich And You",
374,Play Pura Vida .,,Pura Vida,,,,,,,
375,Play a top fifty  ballad by Linda Strawberry on Google Music,,,ballad,top fifty,Linda Strawberry,Google Music,,,
376,use Spotify to play greatest songs from Kailash Kher,,,,greatest,Kailash Kher,Spotify,,,
377,Play the newest  melody by Cisco Adler on pandora,,,melody,newest,Cisco Adler,pandora,,,
378,Use service Vimeo to play music from the artist Mick  track  Now We Are 5,,,track,,Mick,Vimeo,,,Now We Are 5
379,Open Youtube and play Renaldo Lapuz  record from the eighties,eighties,,record,,Renaldo Lapuz,Youtube,,,
380,play some good  amber gristak on Lastfm,,,,good,amber gristak,Lastfm,,,
381,play some synthpop,,,,,,,synthpop,,
382,Play music from my relentless playlist,,relentless,,,,,,,
383,Plpay my Disco Fever playlist.,,Disco Fever,,,,,,,
384,play valerij kipelov on Vimeo,,,,,valerij kipelov,Vimeo,,,
385,Can you play The Change Is Made on Netflix,,,,,,Netflix,,The Change Is Made,
386,Play some Robbie Merrill .,,,,,Robbie Merrill,,,,
387,Play me a song from the twenties by Randy Bachman,twenties,,song,,Randy Bachman,,,,
388,I need to hear some r&b music off of iheart,,,,,,iheart,r&b,,
389,Play some dance music.,,dance,,,,,,,
390,Play new music from Liang Wern Fook,,,,new,Liang Wern Fook,,,,
391,listen to Pmd  symphony,,,symphony,,Pmd,,,,
392,play By The Sleepy Lagoon by Greg Kurstin,,,,,Greg Kurstin,,,By The Sleepy Lagoon,
393,I want to listen to some Saori Atsumi from the twenties on Deezer,twenties,,,,Saori Atsumi,Deezer,,,
394,Play some gangsta music,,,,,,,gangsta,,
395,Play The Eternal by Juju Mob on Vimeo .,,,,,Juju Mob,Vimeo,,,The Eternal
396,Play me a Mario Vazquez  movement,,,movement,,Mario Vazquez,,,,
397,Play music on Lastfm,,,,,,Lastfm,,,
398,Play Eve,,,,,Eve,,,,
399,Play music from 2011 .,2011,,,,,,,,
400,Play some Psychedelic Rock .,,,,,,,Psychedelic Rock,,
401,play Top 100 Indie Tracks on Spotify on Lastfm,,Top 100 Indie Tracks on Spotify,,,,Lastfm,,,
402,play an eighties  track ,eighties,,track,,,,,,
403,Can you play me some eighties music by Adele,eighties,,,,Adele,,,,
404,Play Oliver Cheatham 's symphony from the thirties .,thirties,,symphony,,Oliver Cheatham,,,,
405,Play chant music by Ira Losco on Iheart .,,,chant,,Ira Losco,Iheart,,,
406,Play me the most popular  Lillian Hardin  song on Itunes,,,song,most popular,Lillian Hardin,Itunes,,,
407,Play the red room sessions from chris cunningham,,,,,chris cunningham,,,,the red room sessions
408,Can i use Lastfm to listen to Twilight Time by Dj Khalil ?,,,,,Dj Khalil,Lastfm,,Twilight Time,
409,I want to listen to Roger Daltrey from the sixties on slacker,sixties,,,,Roger Daltrey,slacker,,,
410,Play music from Tommy Ridgley .,,,,,Tommy Ridgley,,,,
411,play All Of Your Toys by Chris Ledoux,,,,,Chris Ledoux,,,All Of Your Toys,
412,Play music by Fidel Nadal sorted by newest .,,,,newest,Fidel Nadal,,,,
413,Play Shaina Magdayao 's music on Iheart,,,,,Shaina Magdayao,Iheart,,,
414,I need to hear a thirties  soundtrack,thirties,,soundtrack,,,,,,
415,Play Dave Wyndorf  album,,,album,,Dave Wyndorf,,,,
416,Play me a song by Linn Berggren from Spotify,,,song,,Linn Berggren,Spotify,,,
417,Play me something by Funtwo,,,,,Funtwo,,,,
418,Play some The Lady Is A Tramp from Timour Moutsouraev,,,,,Timour Moutsouraev,,,The Lady Is A Tramp,
419,play pandora  tracks by Akhtar Sadmani,,,tracks,,Akhtar Sadmani,pandora,,,
420,Please play some music from 1996,1996,,,,,,,,
421,Use the service Lastfm to play music by the artist ai kago,,,,,ai kago,Lastfm,,,
422,Can you play a song by Ken,,,song,,Ken,,,,
423,Play music using Last Fm,,,,,,Last Fm,,,
424,play some Kyle Ward from the seventies,seventies,,,,Kyle Ward,,,,
425,Play Bald by Kaskade .,,,,,Kaskade,,,Bald,
426,Play me some music on Deezer,,,,,,Deezer,,,
427,Play my Futuros Hits playlist on Spotify .,,Futuros Hits,,,,Spotify,,,
428,Play Strength of Street Knowledge on Groove Shark,,Strength of Street Knowledge,,,,Groove Shark,,,
429,Use Pandora to play Korean OSTs,,Korean OSTs,,,,Pandora,,,
430,Play some Gospel music.,,,,,,,Gospel,,
431,Play satire,,,,,,,satire,,
432,Play the top 20  ep from the fifties by John Bundrick .,fifties,,ep,top 20,John Bundrick,,,,
433,Play Alfredo Zitarrosa on spotify .,,,,,Alfredo Zitarrosa,spotify,,,
434,Play me some Terror music,,,,,,,Terror,,
435,Play music from 2010 by Jason Donovan,2010,,,,Jason Donovan,,,,
436,Play me something on Last Fm,,,,,,Last Fm,,,
437,Play Giovanni Battista Guadagnini 's 1982  tracks .,1982,tracks,,,Giovanni Battista Guadagnini,,,,
438,Play some Rumba Africana .,,,,,,,Rumba Africana,,
439,Play Greg Raposo songs from the thirties,thirties,,,,Greg Raposo,,,,
440,Play a top-five  song by Pete Candoli .,,,song,top-five,Pete Candoli,,,,
441,Play Iheart,,,,,,Iheart,,,
442,Play the symphony by Tetsuya Ogawa from 1953,1953,,symphony,,Tetsuya Ogawa,,,,
443,Can you play me some Pop-folk music,,,,,,,Pop-folk,,
444,Play that new  song from 1970,1970,,song,new,,,,,
445,Play some space music on Google Music,,,,,,Google Music,space,,
446,Play a song by Juanes on Last Fm,,,song,,Juanes,Last Fm,,,
447,Play Salmonella Dub Dvd by mario rubalcaba on Vimeo ,,,,,mario rubalcaba,Vimeo,,,Salmonella Dub Dvd
448,Play some music from 1958 on Deezer .,1958,,,,,Deezer,,,
449,I want to hear some of David Gilmour 's music from 1973,1973,,,,David Gilmour,,,,
450,Play music from the playlist Late Night Jazz,,Late Night Jazz,,,,,,,
451,Play the song  Victim Of Changes from Hawkshaw Hawkins on Spotify,,,song,,Hawkshaw Hawkins,Spotify,,Victim Of Changes,
452,Play the music from the playlist Get Lit,,Get Lit,,,,,,,
453,play Bra Vibrationer by Dean,,,,,Dean,,,Bra Vibrationer,
454,Play music from the playlist Get Your Mind Right,,Get Your Mind Right,,,,,,,
455,Play Talking To The Universe on Itunes,,,,,,Itunes,,Talking To The Universe,
456,I want to hear the album  Insult To Injury by Narayana Tirtha .,,,album,,Narayana Tirtha,,,,Insult To Injury
457,play latest  Shaggy music,,,,latest,Shaggy,,,,
458,Play Slacker radio.,,,,,,Slacker,,,
459,Will you play a ballad from Mahalaxmi Iyer,,,ballad,,Mahalaxmi Iyer,,,,
460,use Spotify to play Nina Persson from 1962,1962,,,,Nina Persson,Spotify,,,
461,I want toi hear some Pop Punk Perfection í ¼í½ off of Deezer,,Pop Punk Perfection í ¼í½,,,,Deezer,,,
462,Start up my Independent Music Monday playlist.,,Independent Music Monday,,,,,,,
463,Play That Would Be Something by Eden Ahbez,,,,,Eden Ahbez,,,That Would Be Something,
464,Please play Every Woman In Me,,,,,,,,,Every Woman In Me
465,Play some Ven A Mi,,,,,,,,,Ven A Mi
466,Please play some fourties music on Spotify,fourties,,,,,Spotify,,,
467,Play Dj Cameo on itunes .,,,,,Dj Cameo,itunes,,,
468,play some gotye,,,,,gotye,,,,
469,play This Is Colour by Panda Bear,,,,,Panda Bear,,,This Is Colour,
470,Play songs by Cheryl Wheeler,,,,,Cheryl Wheeler,,,,
471,Play the most popular  song from Chae Yeon off of Spotify,,,song,most popular,Chae Yeon,Spotify,,,
472,Please play me something by New Wave Of American Heavy Metal,,,,,,,New Wave Of American Heavy Metal,,
473,Play Deezer,,,,,,Deezer,,,
474,Play me the best  Charles Neidich  song,,,song,best,Charles Neidich,,,,
475,I want to hear the sound track to Mary Macgregor new songs on Iheart,,,sound track,,Mary Macgregor,Iheart,,,
476,Play music on the playlist Electronic Gaming,,Electronic Gaming,,,,,,,
477,I want to hear some Bill Black  chant music,,,chant,,Bill Black,,,,
478,Play some thirties music on Netflix .,thirties,,,,,Netflix,,,
479,play some eighties by Amirbai Karnataki,eighties,,,,Amirbai Karnataki,,,,
480,Open Youtube and play Connie Francis Sings Spanish And Latin American Favorites from Yukiko Iwai,,,,,Yukiko Iwai,Youtube,,,Connie Francis Sings Spanish And Latin American Favorites
481,Play the Ricky Wilson  album  Spectral Dusk,,,album,,Ricky Wilson,,,,Spectral Dusk
482,Play Red Barchetta by Blind Lemon Jefferson .,,,,,Blind Lemon Jefferson,,,Red Barchetta,
483,Play the track  R U Professional by Roberto Carlos Braga,,,track,,Roberto Carlos Braga,,,R U Professional,
484,play drive playlist,,drive,,,,,,,
485,Play Regulateâ¦g Funk Era by artist Iouri Bachmet on groove shark,,,,,Iouri Bachmet,groove shark,,,Regulateâ¦g Funk Era
486,play music from Itunes for Ric Grech,,,,,Ric Grech,Itunes,,,
487,Play some music on Lastfm .,,,,,,Lastfm,,,
488,Play The Fool On The Hill by Khwaja Ghulam Farid,,,,,Khwaja Ghulam Farid,,,The Fool On The Hill,
489,Play the best songs of 2016,2016,,,best,,,,,
490,Play something by Chris Knight,,,,,Chris Knight,,,,
491,Wish to hear a concerto by Diplo from 1952,1952,,concerto,,Diplo,,,,
492,play songs from Youtube,,,,,,Youtube,,,
493,"Play an album from the fourties , new first.",fourties,,album,new,,,,,
494,"Play Chantal Kreviazuk , Sister Ray",,,,,Chantal Kreviazuk,,,Sister Ray,
495,"play Isaac Hayes on Pandora from love, sweat and beer ep",,,,,Isaac Hayes,Pandora,,,"love, sweat and beer ep"
496,play Only Hope by Graham Bonnet,,,,,Graham Bonnet,,,Only Hope,
497,Play some Avantgarde music on Netflix .,,,,,,Netflix,Avantgarde,,
498,Play gothic music,,,,,,,gothic,,
499,I want to hear Song For Adam,,,,,,,,Song For Adam,
500,Play the playlist Feel Good Dinner .,,Feel Good Dinner,,,,,,,
501,Play the top  track by Claudja Barry on Last Fm,,,track,top,Claudja Barry,Last Fm,,,
502,Play some Iris Dement 's theme based 2015 music on lastfm ,2015,,theme,,Iris Dement,lastfm,,,
503,Play the latest  ballad by September,,,ballad,latest,September,,,,
504,Play fifties music,fifties,,,,,,,,
505,play songs by Sarah Harding,,,,,Sarah Harding,,,,
506,Play Maggot Brain by Albano Carrisi,,,,,Albano Carrisi,,,Maggot Brain,
507,Play a Jack Lawrence  concerto,,,concerto,,Jack Lawrence,,,,
508,I want to hear the top  Tim Madison,,,,top,Tim Madison,,,,
509,Play the 1991  soundtrack from Ian Mcdonald,1991,,soundtrack,,Ian Mcdonald,,,,
510,Play the best songs by Jes Brieden,,,,best,Jes Brieden,,,,
511,Play me a song by Kevin Cadogan,,,song,,Kevin Cadogan,,,,
512,"Play something from my Songs For You, Not Your Parents playlist",,"Songs For You, Not Your Parents",,,,,,,
513,Play Making Out by Alexander Rosenbaum off Google Music .,,,,,Alexander Rosenbaum,Google Music,,Making Out,
514,Play Rocket Queen on Itunes,,,,,,Itunes,,Rocket Queen,
515,Please play a song by Everlast,,,song,,Everlast,,,,
516,Play me some chant from the last half of the sixties,sixties,,chant,last,,,,,
517,Play music by Paul Mccartney,,,,,Paul Mccartney,,,,
518,Play some Krzysztof Penderecki on Last Fm,,,,,Krzysztof Penderecki,Last Fm,,,
519,Play easy listening,,,,,,,easy listening,,
520,play Robert Stoddard from 1988,1988,,,,Robert Stoddard,,,,
521,Play Gloria on last fm,,,,,Gloria,last fm,,,
522,play some movement by Dj Spinna,,,movement,,Dj Spinna,,,,
523,"play Lily, Rosemary And The Jack Of Hearts by Chris Goss",,,,,Chris Goss,,,"Lily, Rosemary And The Jack Of Hearts",
524,play Zvooq  latest  track by Peter Appleyard,,,track,latest,Peter Appleyard,Zvooq,,,
525,Play Brenda Kahn 's Rushall Station .,,,,,Brenda Kahn,,,,Rushall Station
526,play the top five songs by Isaac Hayes,,,,top five,Isaac Hayes,,,,
527,Play some music from the thirties .,thirties,,,,,,,,
528,Play 2011 music,2011,,,,,,,,
529,I want to hear Sebastian 's songs from the thirties on Youtube,thirties,,,,Sebastian,Youtube,,,
530,Play top 20 from frank farian,,,,top 20,frank farian,,,,
531,Play some music using slacker,,,,,,slacker,,,
532,Play some psychadelic music.,,,,,,,psychadelic,,
533,Play some Geir Jenssen .,,,,,Geir Jenssen,,,,
534,Start playing my Disney playlist.,,Disney,,,,,,,
535,I want to hear a Gucci Mane  song from Last Fm from 2002,2002,,song,,Gucci Mane,Last Fm,,,
536,Play me a 2003  song by Charles Neidich,2003,,song,,Charles Neidich,,,,
537,I want to hear some songs from the twenties,twenties,,,,,,,,
538,I'd like to hear chant songs from nineties,nineties,,chant,,,,,,
539,Can you play the newest  record from 1966 by Tony Lee,1966,,record,newest,Tony Lee,,,,
540,Please play Kabhi Jo Baadal Barse by Ruth Lorenzo,,,,,Ruth Lorenzo,,,Kabhi Jo Baadal Barse,
541,Play a record from 2015,2015,,record,,,,,,
542,Use the service Zvooq to play top-10 by artist Coolio,,,,top-10,Coolio,Zvooq,,,
543,Play thirties  symphony music from Nigga on Iheart,thirties,,symphony,,Nigga,Iheart,,,
544,play a sound track by Tom Thacker,,,sound track,,Tom Thacker,,,,
545,Play some Laurie Anderson .,,,,,Laurie Anderson,,,,
546,Open Last Fm and play the top  song from Daniel Lee Chee Hun ,,,song,top,Daniel Lee Chee Hun,Last Fm,,,
547,play some twenties music on Iheart,twenties,,,,,Iheart,,,
548,Play popular  eighties  record,eighties,,record,popular,,,,,
549,Play the track  Grow Old With Me by artist Chloe Rose Lattanzi,,,track,,Chloe Rose Lattanzi,,,Grow Old With Me,
550,on Deezer play fourties tunes by Jona Bechtolt and a ballad,fourties,,ballad,,Jona Bechtolt,Deezer,,,
551,play Kings Of The Wild Frontier by Andrea Bocelli,,,,,Andrea Bocelli,,,,Kings Of The Wild Frontier
552,Play an album from 1987 .,1987,,album,,,,,,
553,Play music from 1960,1960,,,,,,,,
554,Play a movement from the nineties,nineties,,movement,,,,,,
555,Play Bob Hilliard  top-twenty music,,,,top-twenty,Bob Hilliard,,,,
556,Play a seventies  soundtrack by steve walsh on Groove Shark,seventies,,soundtrack,,steve walsh,Groove Shark,,,
557,Use Deezer service to play Opera ,,,,,,Deezer,Opera,,
558,play Zvooq,,,,,,Zvooq,,,
559,I want to hear Techno-industrial music.,,,,,,,Techno-industrial,,
560,play the top  song by Amon Amarth on Groove Shark,,,song,top,Amon Amarth,Groove Shark,,,
561,Play Julie Driscoll,,,,,Julie Driscoll,,,,
562,play something from the twenties,twenties,,,,,,,,
563,Play The View From The Afternoon by Malese Jow on Last Fm,,,,,Malese Jow,Last Fm,,The View From The Afternoon,
564,play songs by Sammy Fain,,,,,Sammy Fain,,,,
565,Play music from the year 1964,1964,,,,,,,,
566,Play the heinz strobl  ep from 2016 on Groove Shark,2016,,ep,,heinz strobl,Groove Shark,,,
567,Play me Leonid Soybelman on Vimeo .,,,,,Leonid Soybelman,Vimeo,,,
568,Play a song from my workout playlist on Groove Shark,,workout,song,,,Groove Shark,,,
569,play some Alte Kameraden music,,,,,,,,Alte Kameraden,
570,Play the music Hands Up,,Hands Up,,,,,,,
571,Play some twenties  theme music on Google Music .,twenties,,theme,,,Google Music,,,
572,Play a fifties  album on Itunes .,fifties,,album,,,Itunes,,,
573,Play genre opera,,,,,,,opera,,
574,Play shadowplay by Dana on Deezer .,,,,,Dana,Deezer,,shadowplay,
575,Play music on Deezer by Imogen Heap,,,,,Imogen Heap,Deezer,,,
576,Find a top fifty  zahir howaida  concerto from the seventies,seventies,,concerto,top fifty,zahir howaida,,,,
577,Play the newest  twenties  melody .,twenties,,melody,newest,,,,,
578,I want to hear Box Of Rain by Skeets Mcdonald,,,,,Skeets Mcdonald,,,Box Of Rain,
579,Please play Casino Boogie,,,,,,,,Casino Boogie,
580,I want to hear a full  album on youtube by Jem Godfrey,,,album,,Jem Godfrey,youtube,,full,
581,Play an Asha Bhosle  song from around 1964,1964,,song,,Asha Bhosle,,,,
582,Play music from the twenties .,twenties,,,,,,,,
583,Play something by Louisiana Blues,,,,,,,Louisiana Blues,,
584,Play new  Ian Mclagan,,,,new,Ian Mclagan,,,,
585,Play music on Itunes,,,,,,Itunes,,,
586,I want to hear Ding Dong Bell on groove shark,,,,,,groove shark,,Ding Dong Bell,
587,Play fifties music on Slacker .,fifties,,,,,Slacker,,,
588,Play Before I Grew Up To Love You by Wafah Dufour,,,,,Wafah Dufour,,,Before I Grew Up To Love You,
589,Play a Jim Mullen  ep from the sixties,sixties,,ep,,Jim Mullen,,,,
590,Play some good music from 2012 .,2012,,,good,,,,,
591,Play the greatest  soundtrack by Nhat Son on Last Fm .,,,soundtrack,greatest,Nhat Son,Last Fm,,,
592,Play the top hits of 2016,2016,,,top,,,,,
593,"Play Fight On, State .",,,,,,,,"Fight On, State",
594,Use Pandora to play music from Maki Onaga from the album made in the nineties,nineties,,album,,Maki Onaga,Pandora,,,
595,Play the top five  Cemil Bey songs,,,,top five,Cemil Bey,,,,
596,Play opera music on google music,,,,,,google music,opera,,
597,play music by Francis Healy,,,,,Francis Healy,,,,
598,play a track from the thirties,thirties,,track,,,,,,
599,Play music on Spotify .,,,,,,Spotify,,,
600,play newest  soundtrack from 2008,2008,,soundtrack,newest,,,,,
601,play Itunes songs by Gerard Way,,,,,Gerard Way,Itunes,,,
602,Play Cherry Pink by Trapp Mendoza on Iheart,,,,,Trapp Mendoza,Iheart,,Cherry Pink,
603,Play Rei Momo  newest  album,,,album,newest,,,,,Rei Momo
604,I want to hear a track by Ryohei Yamamoto on Vimeo,,,track,,Ryohei Yamamoto,Vimeo,,,
605,Start up my nostalgic playlist.,,nostalgic,,,,,,,
606,play some papoose from 2003 on youtube,2003,,,,papoose,youtube,,,
607,Use Deezer to play music by Kimberley Walsh,,,,,Kimberley Walsh,Deezer,,,
608,Play Punk Rock music,,,,,,,Punk Rock,,
609,Play something by Louis Nelson Delisle .,,,,,Louis Nelson Delisle,,,,
610,play 1962 music on Netflix,1962,,,,,Netflix,,,
611,Play a song by David Silveria from 2002 on Zvooq .,2002,,song,,David Silveria,Zvooq,,,
612,play the 2014  album from la lupe,2014,,album,,la lupe,,,,
613,Play Revival music.,,,,,,,Revival,,
614,I want to hear opera on Netflix,,,,,,Netflix,opera,,
615,play the song  Si No Te Hubiera Conocido by Haidar Salim,,,song,,Haidar Salim,,,Si No Te Hubiera Conocido,
616,Start up my Pachangueo Total playlist.,,Pachangueo Total,,,,,,,
617,Open the playlist from Sergei Chatschatrjan,,,,,Sergei Chatschatrjan,,,,
618,open Itunes and play Kenny Cox  most popular  concerto,,,concerto,most popular,Kenny Cox,Itunes,,,
619,play the Gary Chaw  album,,,album,,Gary Chaw,,,,
620,Play me some grunge music,,,,,,,grunge,,
621,Play Chris Goss on Netflix,,,,,Chris Goss,Netflix,,,
622,Play The Garden Of Allah from Wade Mainer,,,,,Wade Mainer,,,The Garden Of Allah,
623,Play Alles Heeft Ritme by Liu Tianhua .,,,,,Liu Tianhua,,,Alles Heeft Ritme,
624,Play the best  Vanessa Peters songs,,,,best,Vanessa Peters,,,,
625,Play That Stubborn Kinda Fellow by Michael Amott,,,,,Michael Amott,,,,That Stubborn Kinda Fellow
626,play a 1983  concerto by Ayaka on Itunes,1983,,concerto,,Ayaka,Itunes,,,
627,I want to hear Dido from 1966 on Youtube,1966,,,,Dido,Youtube,,,
628,Play Andy Williams Sings Rodgers And Hammerstein by elica todorova,,,,,elica todorova,,,,Andy Williams Sings Rodgers And Hammerstein
629,Play Tujiko Noriko 's Ten Years And Running .,,,,,Tujiko Noriko,,,,Ten Years And Running
630,Open google music and play Women of Jazz playlist,,Women of Jazz,,,,google music,,,
631,Play christian gangsta rap,,,,,,,christian gangsta rap,,
632,Play Donald Rubinstein on Pandora,,,,,Donald Rubinstein,Pandora,,,
633,Play Shinya Yamada music from 1962 on Groove Shark ,1962,,,,Shinya Yamada,Groove Shark,,,
634,play the greatest  Vimeo tunes by angelo amorevoli on soundtrack,,,soundtrack,greatest,angelo amorevoli,Vimeo,,,
635,Play some Google Music .,,,,,,Google Music,,,
636,Open Deezer and play top 40 hits,,,,top,,Deezer,,,
637,Play me a nineties  sound track,nineties,,sound track,,,,,,
638,play a symphony that is good from 2000,2000,,symphony,good,,,,,
639,Play some music on Pandora,,,,,,Pandora,,,
640,play music from the twenties,twenties,,,,,,,,
641,play the most popular  Miles Jones  track,,,track,most popular,Miles Jones,,,,
642,Play Miyavi 's music from seventies on Google Music .,seventies,,,,Miyavi,Google Music,,,
643,Play a twenties  soundtrack on Youtube,twenties,,soundtrack,,,Youtube,,,
644,Play slow rock music,,,,,,,slow rock,,
645,Play some techno on Lastfm,,,,,,Lastfm,techno,,
646,Will you play me the most popular  sound track from 2006,2006,,sound track,most popular,,,,,
647,Play the song  I Get Ideas as performed by Richard Kruspe,,,song,,Richard Kruspe,,,I Get Ideas,
648,Play new  track from the fifties,fifties,,track,new,,,,,
649,Can you play an ep from the year 1958 ?,1958,,ep,,,,,,
650,play scott la rock from Stella on Slacker,,,,,scott la rock,Slacker,,,Stella
651,Play Thelma Aoyama 's latest  concerto,,,concerto,latest,Thelma Aoyama,,,,
652,Make and play a new playlis with the theme songs released in 1968,1968,,theme,new,,,,,
653,Play the tune by Adam Yauch,,,tune,,Adam Yauch,,,,
654,Play some melody from the eighties on Spotify,eighties,,melody,,,Spotify,,,
655,Play music by mina caputo on Lastfm,,,,,mina caputo,Lastfm,,,
656,Play some fifties music by Origa .,fifties,,,,Origa,,,,
657,Play a popular  Gurdas Maan  track,,,track,popular,Gurdas Maan,,,,
658,play an album on Netflix by chris castle from 2011,2011,,album,,chris castle,Netflix,,,
659,Play the most popular music by Ronald Isley on Google Music,,,,most popular,Ronald Isley,Google Music,,,
660,Play the top-20 music by merz,,,,top-20,merz,,,,
661,play twenties music off of my Itunes,twenties,,,,,Itunes,,,
662,Play a Mike Osborne  song,,,song,,Mike Osborne,,,,
663,play Groove Shark,,,,,,Groove Shark,,,
664,Play me a Maia Hirasawa  soundtrack from 1951,1951,,soundtrack,,Maia Hirasawa,,,,
665,Play Elysium from Ryan Cayabyab,,,,,Ryan Cayabyab,,,,Elysium
666,play Matt Walker tunes,,,,,Matt Walker,,,,
667,play Solange 2016  album ,2016,,album,,,,,,
668,Play a soundtrack by Mike Hindert on Spotify .,,,soundtrack,,Mike Hindert,Spotify,,,
669,Play the top-5 sort of ballad music from 2012 .,2012,,ballad,top-5,,,,,
670,"I want to listen to Lastfm , play A Drop Of The Hard Stuff by Joi Chua .",,,,,Joi Chua,Lastfm,,,A Drop Of The Hard Stuff
671,play Pop 2017 Picks,,Pop 2017 Picks,,,,,,,
672,play Groove Shark,,,,,,Groove Shark,,,
673,I want hear some Junior Murvin off of Youtube,,,,,Junior Murvin,Youtube,,,
674,I want to hear a top-50  track from Takahito Eguchi on Google Music,,,track,top-50,Takahito Eguchi,Google Music,,,
675,Play 25 To Life by Paul Riley on Deezer .,,,,,Paul Riley,Deezer,,,25 To Life
676,Play me some seventies music with a good  melody,seventies,,melody,good,,,,,
677,play an Masaki Aiba  tune,,,tune,,Masaki Aiba,,,,
678,play Morning Song,,,,,,,,,Morning Song
679,I want to hear a fourties  ballad by Luciano,fourties,,ballad,,Luciano,,,,
680,play a good  1952  symphony,1952,,symphony,good,,,,,
681,play Hardcore music,,,,,,,Hardcore,,
682,Play a top twenty  symphony by Bumble Bee Slim,,,symphony,top twenty,Bumble Bee Slim,,,,
683,play Wait Until Tomorrow,,,,,,,,Wait Until Tomorrow,
684,play a music ballad from the sixties,sixties,,ballad,,,,,,
685,Play the top  1991  sound track,1991,,sound track,top,,,,,
686,Play the latest songs by Larry Gatlin on Iheart,,,,latest,Larry Gatlin,Iheart,,,
687,Play me a bluegrass  song,,,song,,,,bluegrass,,
688,Play a sixties  song by Classified,sixties,,song,,Classified,,,,
689,play Monie Love tunes on Google Music from 1984 from her song list,1984,,song,,Monie Love,Google Music,,,
690,Play pop,,,,,,,pop,,
691,Play a melody from Elmer Bernstein,,,melody,,Elmer Bernstein,,,,
692,I want to listen to my Spain Top 50 playlist on groove shark,,Spain Top 50,,,,groove shark,,,
693,Play top-ten  eighties  song,eighties,,song,top-ten,,,,,
694,Play Michael Angelo Batio,,,,,Michael Angelo Batio,,,,
695,Play a twenties  concerto from Roger Taylor on deezer,twenties,,concerto,,Roger Taylor,deezer,,,
696,play dj kentaro from the year 1994,1994,,,,dj kentaro,,,,
697,play a twenties  song,twenties,,song,,,,,,
698,Can you play me a track from the nineties ?,nineties,,track,,,,,,
699,Play a song off Get Up Offa That Thing by Doseone on Last Fm,,,song,,Doseone,Last Fm,,,Get Up Offa That Thing
700,Play a movement fromthe eighties by Nobuo Uematsu .,eighties,,movement,,Nobuo Uematsu,,,,
701,Play In Every Dream Home A Heartache by vincent paul abbott ,,,,,vincent paul abbott,,,In Every Dream Home A Heartache,
702,Play the newest released song from 1951,1951,,song,newest,,,,,
703,use Slacker to listen to seventies music,seventies,,,,,Slacker,,,
704,Play the best  song by Henry Rollins .,,,song,best,Henry Rollins,,,,
705,play my melodious playlist,,melodious,,,,,,,
706,Play top music from Charles L. Johnson on vimeo ,,,,top,Charles L. Johnson,vimeo,,,
707,Play the top-twenty from Tony Calder off Slacker .,,,,top-twenty,Tony Calder,Slacker,,,
708,play anything from the twenties,twenties,,,,,,,,
709,Play music from 2012 by Yossif Kobzon on last fm .,2012,,,,Yossif Kobzon,last fm,,,
710,Play the theme tune that Christian Fennesz wrote,,,theme tune,,Christian Fennesz,,,,
711,Open Youtube and play Nanana from Massimo Altomare,,,,,Massimo Altomare,Youtube,,Nanana,
712,Open Lastfm and play a voluntad del cielo from Wax,,,,,Wax,Lastfm,,,a voluntad del cielo
713,I want to hear a 1957  theme song,1957,,theme song,,,,,,
714,Play my Electro Sur playlist.,,Electro Sur,,,,,,,
715,play the last  track by Shavo Odadjian,,,track,last,Shavo Odadjian,,,,
716,Play Brotherhood by Ock Joo-hyun,,,,,Ock Joo-hyun,,,,Brotherhood
717,play latest  George Ducas music,,,,latest,George Ducas,,,,
718,play a tune from 1962,1962,,tune,,,,,,
719,play I Could Write A Book,,,,,,,,I Could Write A Book,
720,listen to acapella,,,,,,,acapella,,
721,Play music from 2005 by Justin Broadrick,2005,,,,Justin Broadrick,,,,
722,Play the best  1981  sound track from Ric Fierabracci,1981,,sound track,best,Ric Fierabracci,,,,
723,Play a ballad by Owen Pallett from the seventies on Slacker .,seventies,,ballad,,Owen Pallett,Slacker,,,
724,Play concerto from 1951,1951,,concerto,,,,,,
725,Play Yung Joc on slacker,,,,,Yung Joc,slacker,,,
726,I want to listen to Speed Metal Symphony,,,,,,,,,Speed Metal Symphony
727,play journey list,,journey,,,,,,,
728,Play a melody by Hagigat Rzayeva,,,melody,,Hagigat Rzayeva,,,,
729,Play fifties from Sirusho Harutyunyan,fifties,,,,Sirusho Harutyunyan,,,,
730,Play a fairouz  tune on Deezer,,,tune,,fairouz,Deezer,,,
731,play the top-twenty songs by The Kleptones on Spotify,,,,top-twenty,The Kleptones,Spotify,,,
732,Play the greatest music you can find by Ari Herstand on Zvooq,,,,greatest,Ari Herstand,Zvooq,,,
733,play 90s Love Songs on Youtube,,90s Love Songs,,,,Youtube,,,
734,Please play Got The Time,,,,,,,,Got The Time,
735,Play twenties from Ken Floyd,twenties,,,,Ken Floyd,,,,
736,Play the playlist Grime Shutdown,,Grime Shutdown,,,,,,,
737,Play Masashi Hamauzu 's newest  symphony on Itunes .,,,symphony,newest,Masashi Hamauzu,Itunes,,,
738,Play the playlist funtime activity ,,funtime activity,,,,,,,
739,Play some seventies songs from Luke Haines off of youtube,seventies,,,,Luke Haines,youtube,,,
