,text,best_rating,rating_unit,object_select,rating_value,object_part_of_series_type,object_name,object_type
396,this  album is rated at a 0 out of a possible 6 .,6,,this,0,,,album
397,Give two  points to One Virgin Too Many,,points,,two,,One Virgin Too Many,
398,Can you give this  textbook a 2 out of 6 ?,6,,this,2,,,textbook
399,give 4 out of 6  stars to this  textbook,6,stars,this,4,,,textbook
400,I rate the book  Creature in the Teacher  3  stars,,stars,,3,,Creature in the Teacher,book
401,Rate the current  book a three,,,current,three,,,book
402,rate this book titled The Gray Prince  5  points,,points,,5,,The Gray Prince,book
403,Rate this  novel  4 out of 6 ,6,,this,4,,,novel
404,Give this  essay  four  stars / 6 .,6,stars,this,four,,,essay
405,I rate the book  Time and Stars  two  points,,points,,two,,Time and Stars,book
406,Rate my current  novel  3 out of 6,6,,current,3,,,novel
407,I want to give this  book  three out of 6  stars,6,stars,this,three,,,book
408,Rate The Bishop a 1,,,,1,,The Bishop,
409,Rate The Joy of Gay Sex a 5 out of 6,6,,,5,,The Joy of Gay Sex,
410,Rate this  textbook  zero  stars,,stars,this,zero,,,textbook
411,add this current  book  five  stars,,stars,current,five,,,book
412,I rate Monster Mythology  3  points .,,points,,3,,Monster Mythology,
413,The Coming Insurrection should get a rating of 1,,,,1,,The Coming Insurrection,
414,Give the book  Buzz about Bees a 2 star rating out of 6 .,6,,,2,,Buzz about Bees,book
415,I want to rate the current  textbook with 4,,,current,4,,,textbook
416,this  album is five  stars .,,stars,this,five,,,album
417,Rate Adventures in Stationery  saga  5  stars,,stars,,5,saga,Adventures in Stationery,
418,Freud: A Life for Our Time deserves a solid 4,,,,4,,Freud: A Life for Our Time,
419,Give this  textbook  3  stars .,,stars,this,3,,,textbook
420,rate this  novel  four  stars,,stars,this,four,,,novel
421,Rate this  album a 2,,,this,2,,,album
422,Rate my current  album  3  stars,,stars,current,3,,,album
423,I would give Basic Battle Skills a rating of four,,,,four,,Basic Battle Skills,
424,I would rate Tree of Smoke a value of two or a best rating of 6,6,,,two,,Tree of Smoke,
425,Rate the current  novel  1 of 6,6,,current,1,,,novel
426,out of 6 give The Morganville Vampires a 1,6,,,1,,The Morganville Vampires,
427,give 0 out of 6  stars to Reality of Certainty,6,stars,,0,,Reality of Certainty,
428,Diana in Search of Herself is average and gets a 3 out of 6  points,6,points,,3,,Diana in Search of Herself,
429,Rate this  saga  two with a bet rating of 6,6,,this,two,saga,,
430,I am giving this current  novel  4 out of 6  stars,6,stars,current,4,,,novel
431,I want to give the current  textbook  2 out of 6,6,,current,2,,,textbook
432,Rate In the Eyes of Mr. Fury  zero of 6,6,,,zero,,In the Eyes of Mr. Fury,
433,Rate the current  novel  5 of 6,6,,current,5,,,novel
434,Give Signals of Belief in Early England  four of 6,6,,,four,,Signals of Belief in Early England,
435,Rate Dictionary of the English Language a 4,,,,4,,Dictionary of the English Language,
436,Give the current  essay  3,,,current,3,,,essay
437,Rate this  textbook a 1,,,this,1,,,textbook
438,give 5 out of 6  stars to Creatures of Light and Darkness,6,stars,,5,,Creatures of Light and Darkness,
439,Rate The Loneliness of the Long Distance Runner  0  points / 6,6,points,,0,,The Loneliness of the Long Distance Runner,
440,Rate this  essay  two out of 6  stars,6,stars,this,two,,,essay
441,this  saga is definitely worth 4  stars .,,stars,this,4,saga,,
442,Rate Blood and Gold  saga  0  points,,points,,0,saga,Blood and Gold,
443,Give The Body Artist a 5 .,,,,5,,The Body Artist,
444,Rate this  book  four  stars out of 6,6,stars,this,four,,,book
445,Rate Seeing with the Eyes of Love  5  points,,points,,5,,Seeing with the Eyes of Love,
446,I'd rate the chronicle called The Art of Loving  3  points out of 6,6,points,,3,chronicle,The Art of Loving,
447,Rate Hocus Bogus a 4 .,,,,4,,Hocus Bogus,
448,Rate The First Death  1  stars,,stars,,1,,The First Death,
449,Rate the current  novel  3  points .,,points,current,3,,,novel
450,Rate Cold Light  5 out of 6  points .,6,points,,5,,Cold Light,
451,rate the book  The Outlaws of Sherwood  two  stars,,stars,,two,,The Outlaws of Sherwood,book
452,Rate The Demolished Man a five ,,,,five,,The Demolished Man,
453,give 3 out of 6  stars to this  essay,6,stars,this,3,,,essay
454,I giv the current  novel a four,,,current,four,,,novel
455,I would give zero  stars to A Concise Treatise on the Art of Angling out of 6 .,6,stars,,zero,,A Concise Treatise on the Art of Angling,
456,Rate my current  book  3 out of 6,6,,current,3,,,book
457,give zero out of 6  points to The False Peace,6,points,,zero,,The False Peace,
458,4  stars out of 6 is the rating for Fires of Azeroth,6,stars,,4,,Fires of Azeroth,
459,Rate this  novel  0 of 6  stars,6,stars,this,0,,,novel
460,Give A Mile Beyond the Moon  five  points,,points,,five,,A Mile Beyond the Moon,
461,rate The Confidence-Man  3  points,,points,,3,,The Confidence-Man,
462,rate Animals of the Bible  one of 6  points,6,points,,one,,Animals of the Bible,
463,Rate the current  book  1 of 6  points,6,points,current,1,,,book
464,I give 1  stars out of 6 to this current  series .,6,stars,current,1,series,,
465,the stars total 6 but Journey Under the Midnight Sun gets a four,6,stars,,four,,Journey Under the Midnight Sun,
466,I rated The Island of Adventure  saga a 2 of 6,6,,,2,saga,The Island of Adventure,
467,Rate The Art of Nijinsky  5  points,,points,,5,,The Art of Nijinsky,
468,rate the current  essay  four of 6 ,6,,current,four,,,essay
469,"I'd give With Lee in Virginia, A Story of the American Civil War  chronicle  4 of 6",6,,,4,chronicle,"With Lee in Virginia, A Story of the American Civil War",
470,Rate this  album  five out of 6  stars .,6,stars,this,five,,,album
471,rate The Brothers Karamazov a four,,,,four,,The Brothers Karamazov,
472,rate Atop an Underwood: Early Stories and Other Writings  0 out of 6  stars,6,stars,,0,,Atop an Underwood: Early Stories and Other Writings,
473,give three  stars to current  essay,,stars,current,three,,,essay
474,Give this  novel  5  stars,,stars,this,5,,,novel
475,Rate the current  album a five out of 6,6,,current,five,,,album
476,Rate A Taste of Blackberries a three,,,,three,,A Taste of Blackberries,
477,I give zero  points to this  chronicle,,points,this,zero,chronicle,,
478,I would rate this  chronicle a value of 1 and a best rating of 6,6,,this,1,chronicle,,
479,rate Mandela: The Authorised Biography a one,,,,one,,Mandela: The Authorised Biography,
480,I'd like to give a rating of 4 to this current  book .,,,current,4,,,book
481,I give the previous  saga  4 out of 6,6,,previous,4,saga,,
482,Rate The Autobiography of Alice B. Toklas  1 out of 6  stars,6,stars,,1,,The Autobiography of Alice B. Toklas,
483,i give The Aquariums of Pyongyang  3 out of 6  stars,6,stars,,3,,The Aquariums of Pyongyang,
484,rate The Odd Angry Shot  five  points,,points,,five,,The Odd Angry Shot,
485,Give A Kentucky Cardinal  four  points,,points,,four,,A Kentucky Cardinal,
486,four  points for this  essay,,points,this,four,,,essay
487,I would rate Eater of Wasps a value of zero and a best rating of 6,6,,,zero,,Eater of Wasps,
488,give 0 out of 6  points to The Paper Men,6,points,,0,,The Paper Men,
489,Rate the current  essay  zero  points,,points,current,zero,,,essay
490,rate this  series  one of 6,6,,this,one,series,,
491,give this  textbook  zero out of 6  points,6,points,this,zero,,,textbook
492,Rate my current  essay a 2,,,current,2,,,essay
493,Please give 1  points to Waiting for the Mahatma .,,points,,1,,Waiting for the Mahatma,
494,I give The Cat and the King  2  stars .,,stars,,2,,The Cat and the King,
495,"The Naked and the Dead was pretty good, I'd give it four  stars .",,stars,,four,,The Naked and the Dead,
496,"I would rate this  book  chronicle , 3 out of 5  stars .",,stars,this,5,chronicle,,book
497,The book  History of Shit should be rated 2 out of 6 .,6,,,2,,History of Shit,book
498,Rate The White Body of Evening  one of 6,6,,,one,,The White Body of Evening,
499,I want to give Select Conversations with an Uncle  5  stars,,stars,,5,,Select Conversations with an Uncle,
500,Rate the current  essay  4 out of 6,6,,current,4,,,essay
501,National Lampoon Tenth Anniversary Anthology 1970–1980 is a 4 out of 6 read,6,,,4,,National Lampoon Tenth Anniversary Anthology 1970–1980,
502,Rate The Night Land  three out of 6,6,,,three,,The Night Land,
503,rate the current  novel  one out of 6,6,,current,one,,,novel
504,this album is the last and rated five,,,last,five,,,album
505,rate the book  The Orchard Book of First Greek Myths a 0,,,,0,,The Orchard Book of First Greek Myths,book
506,Gie this  textbook  3  stars,,stars,this,3,,,textbook
507,Rate the current  novel  two  stars,,stars,current,two,,,novel
508,I give The Lady Decides a rating value of 4 and a best rating of 6,6,,,4,,The Lady Decides,
509,I'd say Life in the Iron Mills was a five,,,,five,,Life in the Iron Mills,
510,rate this  saga  4 out of 6  stars,6,stars,this,4,saga,,
511,The current  essay only deserves one out of 6  points,6,points,current,one,,,essay
512,give the current  textbook  1 out of 6  stars,6,stars,current,1,,,textbook
513,rate Beaver Towers  five out of 6  stars,6,stars,,five,,Beaver Towers,
514,rate the last  series  one of 6  stars,6,stars,last,one,series,,
515,I feel that zero out of 6  points would be the rating of Queen of the Dawn .,6,points,,zero,,Queen of the Dawn,
516,I would rate the chronicle  The Monks of Thelema a 2,,,,2,chronicle,The Monks of Thelema,
517,"I liked Ports of Call , I'd give it a 5 out of 6 .",6,,,5,,Ports of Call,
518,give The Council of Dads  1 out of 6  stars,6,stars,,1,,The Council of Dads,
519,rate The Citadel  1 out of 6  points,6,points,,1,,The Citadel,
520,Give 4  stars to the current  essay,,stars,current,4,,,essay
521,Rate the current  textbook  1 of 6  stars,6,stars,current,1,,,textbook
522,I want to rate the saga  The Italian  two to 6  points .,6,points,,two,saga,The Italian,
523,rate The Pig Scrolls  one of 6  points,6,points,,one,,The Pig Scrolls,
524,the next  book is worth two,,,next,two,,,book
525,rate Cousin Bette  5  points,,points,,5,,Cousin Bette,
526,Give four / 6  points to Empire of Death,6,points,,four,,Empire of Death,
527,Rate Recovery Road a three,,,,three,,Recovery Road,
528,Give the current  series  two  stars .,,stars,current,two,series,,
529,The Comics We Loved gets 1 out of 6  points,6,points,,1,,The Comics We Loved,
530,I would give this current  chronicle a value of 4 and a best rating of 6,6,,current,4,chronicle,,
531,The Mad Scientist Hall of Fame gets only a two out of 6,6,,,two,,The Mad Scientist Hall of Fame,
532,Rate the current  essay  zero  stars,,stars,current,zero,,,essay
533,Rate To Live and Die in L.A. a four out of 6 .,6,,,four,,To Live and Die in L.A.,
534,give 3 out of 6  points to current  novel,6,points,current,3,,,novel
535,Rate this current  novel  1 out of 6  points .,6,points,this current,1,,,novel
536,4  stars for Three to Get Deadly,,stars,,4,,Three to Get Deadly,
537,Give this  album a five out of 6,6,,this,five,,,album
538,Not Yet: A Memoir of Living and Almost Dying was one out of 6  stars,6,stars,,one,,Not Yet: A Memoir of Living and Almost Dying,
539,I give Out of Sync  zero out of 6  points .,6,points,,zero,,Out of Sync,
540,The book  History by Contract is rated five  stars in my opinion.,,stars,,five,,History by Contract,book
541,Rate What Is Called Thinking ? 0  stars,,stars,,0,,What Is Called Thinking,
542,rate this  book  saga  3 out of 6  stars,6,stars,this,3,saga,,book
543,this  textbook gets a two,,,this,two,,,textbook
544,Give the current  textbook  5 / 6  points,6,points,current,5,,,textbook
545,Give this  series  3  stars,,stars,this,3,series,,
546,rate the current  book  3 out of 6  stars,6,stars,current,3,,,book
547,give Heartland  chronicle  four  points,,points,,four,chronicle,Heartland,
548,Rate The Masks of Time  zero of 6  stars,6,stars,,zero,,The Masks of Time,
549,give 0 out of 6  points to current  textbook,6,points,current,0,,,textbook
550,find five  points called The Origins of Virtue,,points,,five,,The Origins of Virtue,
551,Rate my current  book  one  stars,,stars,current,one,,,book
552,Rate this  book  four  points,,points,this,four,,,book
553,I would give this  book a value of 2 and a best rating of 6,6,,this,2,,,book
554,Rate Lord of the World a value of 4,,,,4,,Lord of the World,
555,I rate this  essay  5 of 6  points,6,points,this,5,,,essay
556,Rate this  novel  three out of 6  stars,6,stars,this,three,,,novel
557,i give the following  textbook  three  points,,points,following,three,,,textbook
558,give two out of 6  stars to current  book,6,stars,current,two,,,book
559,Rate this  essay  two  stars,,stars,this,two,,,essay
560,I rate Vivian Grey  three .,,,,three,,Vivian Grey,
561,give three  stars to chronicle  Falling in Love With Hominids,,stars,,three,chronicle,Falling in Love With Hominids,
562,Rate The Principle of Hope  1 out of 6  stars,6,stars,,1,,The Principle of Hope,
563,I want to give this current  textbook  4  points .,,points,current,4,,,textbook
564,I am giving this current  novel  1 out of 6  stars,6,stars,current,1,,,novel
565,Rate the current  textbook  4 out of 6  points,6,points,current,4,,,textbook
566,Give The Neon Bible  three  stars / 6,6,stars,,three,,The Neon Bible,
567,I give the current  chronicle  one of 6  stars,6,stars,current,one,chronicle,,
568,I rate this  essay a two of 6  points,6,points,this,two,,,essay
569,I would rate The Spoiler  0  stars,,stars,,0,,The Spoiler,
570,I give the next  essay  4 out of 6  points .,6,points,next,4,,,essay
571,Rate this current  novel  5  points,,points,current,5,,,novel
572,Rate The Change  0 out of 6  points,6,points,,0,,The Change,
573,Give the current  book a one out of 6 .,6,,current,one,,,book
574,This current  book deserves 1  points,,points,current,1,,,book
575,Rate this  textbook a three,,,this,three,,,textbook
576,Rate Voyages by Starlight a value of 0,,,,0,,Voyages by Starlight,
577,rate the book  Now and Forever  1 out of 6  points,6,points,,1,,Now and Forever,book
578,Rate this  book  3 out of 6  points,6,points,this,3,,,book
579,I feel like this  essay deserves four  stars,,stars,this,four,,,essay
580,Rate Contesting the Future of Nuclear Power a four,,,,four,,Contesting the Future of Nuclear Power,
581,this  essay deserves 0  stars .,,stars,this,0,,,essay
582,I would give Sentenced to Prism a rating of zero and a best rating of 6,6,,,zero,,Sentenced to Prism,
583,rate this  book a zero,,,this,zero,,,book
584,Give Waiting for the Mahatma  5 out of 6  points .,6,points,,5,,Waiting for the Mahatma,
585,For the book  Deception I rate it four  points,,points,,four,,Deception,book
586,I rate The Mathematical Magpie  chronicle a 0 of 6,6,,,0,chronicle,The Mathematical Magpie,
587,Give Grand Conspiracy  zero out of 6  points .,6,points,,zero,,Grand Conspiracy,
588,I'd like to rate this  textbook  4 out of 6,6,,this,4,,,textbook
589,rate this  novel a three,,,this,three,,,novel
590,give 1  stars to book  Mr Ponsonby,,stars,,1,,Mr Ponsonby,book
591,rate the current  textbook  3 out of 6,6,,current,3,,,textbook
592,I am giving the book titled The Masters of Solitude a rating of two out of 6,6,,,two,,The Masters of Solitude,book
593,I would rate this  chronicle  zero and a best rating of 6,6,,this,zero,chronicle,,
594,rate this  album  one out of 6,6,,this,one,,,album
595,I think this  essay is only good for one  stars,,stars,this,one,,,essay
596,The Amityville: The Evil Escapes  chronicle is only a 1 out of 6 .,6,,,1,chronicle,Amityville: The Evil Escapes,
597,Rate the current  novel a 3 ,,,current,3,,,novel
598,Rate the Casualties of Peace  series  one of 6,6,,,one,series,Casualties of Peace,
599,the following  essay is worth four out 6,6,,following,four,,,essay
600,give two  stars to current  chronicle,,stars,current,two,chronicle,,
601,The Latham Diaries deserves a rating value of 0 and a best rating of 6,6,,,0,,The Latham Diaries,
602,give four out of 6  points to current  album,6,points,current,four,,,album
603,Rate this  novel  1  points .,,points,this,1,,,novel
604,Rate this  novel at 2,,,this,2,,,novel
605,rate this  essay  three of 6  stars,6,stars,this,three,,,essay
606,Give The Lost Princess  3  stars .,,stars,,3,,The Lost Princess,
607,Rate Shadow of Night a 1 ,,,,1,,Shadow of Night,
608,rate the book  Line to Tomorrow  three  stars,,stars,,three,,Line to Tomorrow,book
609,rate Eleanor Rigby a 3 ,,,,3,,Eleanor Rigby,
610,I rate Doom 3: Worlds on Fire a 1 of 6,6,,,1,,Doom 3: Worlds on Fire,
611,the next  novel is 4  stars,,stars,next,4,,,novel
612,Give Twas the Night Before Christmas  0  points out of 6 .,6,points,,0,,Twas the Night Before Christmas,
613,rate this  textbook  4 out of 6  stars,6,stars,this,4,,,textbook
614,I'd rate the current  chronicle  2  points,,points,current,2,chronicle,,
615,Please rate this  book and album  4 to 6  stars .,6,stars,this,4,,,album
616,Make this  essay  two out 6  stars,6,stars,this,two,,,essay
617,give zero out of 6  points to Marxism and the Oppression of Women,6,points,,zero,,Marxism and the Oppression of Women,
618,I would give Dead Man Falling  5  points and a best rating of 6,6,points,,5,,Dead Man Falling,
619,give two  points out of 6 to this  novel,6,points,this,two,,,novel
620,give 4 out of 6  stars to this  textbook,6,stars,this,4,,,textbook
621,Rate Maps for Lost Lovers  1 of 6,6,,,1,,Maps for Lost Lovers,
622,give 1 out of 6  points to this  novel,6,points,this,1,,,novel
623,Give this  essay  one star out of 6,6,,this,one,,,essay
624,Rate this  album  4  points,,points,this,4,,,album
625,rate this  book  four of 6  points,6,points,this,four,,,book
626,The Rats of Hamelin deserves zero  points,,points,,zero,,The Rats of Hamelin,
627,rate this  album  1,,,this,1,,,album
628,For this  book I rate four  points,,points,this,four,,,book
629,I give Jonathan Livingston le goéland  2 of 6  points,6,points,,2,,Jonathan Livingston le goéland,
630,rate The Overton Window  series a two out of 6,6,,,two,series,The Overton Window,
631,Rate the current  textbook with 2  points out of 6 .,6,points,current,2,,,textbook
632,Rate The Natural a 4,,,,4,,The Natural,
633,Rate this  album  zero  stars,,stars,this,zero,,,album
634,rate the current  essay  5  points,,points,current,5,,,essay
635,"Of a total possible of 6 , I think the current  book is a five .",6,,current,five,,,book
636,Rate my current  book  four  points out of 6,6,points,current,four,,,book
637,Rate The Desert Column  3 out of 6 ,6,,,3,,The Desert Column,
638,rate this  essay  two  points out of 6,6,points,this,two,,,essay
639,Rate the previous  essay  5 out of 6,6,,previous,5,,,essay
640,Give this  saga a 5 out of 6 rating.,6,,this,5,saga,,
641,Rate this awful book called Cold with 0 out of 6  points,6,points,,0,,Cold,book
642,rate this  chronicle  3  stars,,stars,this,3,chronicle,,
643,For Mirrorshades I rate it three  stars,,stars,,three,,Mirrorshades,
644,I would rate this current  series I'm reading a two out of 6,6,,current,two,series,,
645,rate this  textbook  2 out of 6,6,,this,2,,,textbook
646,rate this  novel  0 of 6  stars,6,stars,this,0,,,novel
647,I am giving the current  novel a four out of 6 rating.,6,,current,four,,,novel
648,Rate Tropic of Capricorn  two  stars,,stars,,two,,Tropic of Capricorn,
649,Give The Lost World  2  points,,points,,2,,The Lost World,
650,give four out of 6 star to this  novel,6,,this,four,,,novel
651,3 out of 6 for the last  album,6,,last,3,,,album
652,rate this  book  4 out of 6,6,,this,4,,,book
653,this current  book is worth five,,,current,five,,,book
654,rate this current  album  five out of 6  points,6,points,current,five,,,album
655,Warriors of Legend gets a 3 out of 6,6,,,3,,Warriors of Legend,
656,rate the current  album  two  points,,points,current,two,,,album
657,Rate the current  textbook  3 of 6,6,,current,3,,,textbook
658,Rate Homicide: A Year on the Killing Streets  five  stars,,stars,,five,,Homicide: A Year on the Killing Streets,
659,Rate this  book  zero out of 6,6,,this,zero,,,book
660,rate the chronicle  following a 4,,,following,4,chronicle,,
661,I want to give The Nightmare Fair  five  stars and a rating of 6,6,stars,,five,,The Nightmare Fair,
662,Rate the My Beloved World  saga a one ,,,,one,saga,My Beloved World,
663,Big Breasts and Wide Hips is terrible and 1 out of 6,6,,,1,,Big Breasts and Wide Hips,
664,give one out of 6 star to A Girl Is a Half-formed Thing  chronicle,6,,,one,chronicle,A Girl Is a Half-formed Thing,
665,Rate Wielding a Red Sword  0  stars,,stars,,0,,Wielding a Red Sword,
666,Rate this  essay a 3,,,this,3,,,essay
667,rate Secrets and Lies  2 of 6  stars,6,stars,,2,,Secrets and Lies,
668,I'd give The Day of Reckoning  four  points,,points,,four,,The Day of Reckoning,
669,I feel that Sons and Lovers deserves a rating of 2 .,,,,2,,Sons and Lovers,
670,Rate this  album only three  points ,,points,this,three,,,album
671,give two out of 6  points to current  textbook,6,points,current,two,,,textbook
672,Rate my current  textbook  1 out of 6  points,6,points,current,1,,,textbook
673,rate Getting It Wrong from the Beginning a value of 4,,,,4,,Getting It Wrong from the Beginning,
674,I give the previous  series  four  stars .,,stars,previous,four,series,,
675,give five star to The Second Angel  series ,,,,five,series,The Second Angel,
676,give this  novel  3 of 6 ,6,,this,3,,,novel
677,Rate the current  essay  3 out of 6  points,6,points,current,3,,,essay
678,Give this  novel  two out of 6  stars,6,stars,this,two,,,novel
679,give this  textbook a five,,,this,five,,,textbook
680,Remember the City nets five out of 6 .,6,,,five,,Remember the City,
681,rate the current  chronicle a zero,,,current,zero,chronicle,,
682,Give The Phantom Ship a zero .,,,,zero,,The Phantom Ship,
683,Rate this  chronicle  0,,,this,0,chronicle,,
684,Give this  chronicle a 4 out of 6,6,,this,4,chronicle,,
685,Rate the saga  Rides a Dread Legion  zero out of 6  points .,6,points,,zero,saga,Rides a Dread Legion,
686,give three out of 6  points in current  essay,6,points,current,three,,,essay
687,Rate Encyclopaedia of the Social Sciences  zero out of 6,6,,,zero,,Encyclopaedia of the Social Sciences,
688,Rate the White Lies  chronicle  0  stars,,stars,,0,chronicle,White Lies,
689,give four star to current  novel,,,current,four,,,novel
690,I would give Bones of the Earth  2  points,,points,,2,,Bones of the Earth,
691,I am giving this current  essay  zero out of 6  stars,6,stars,current,zero,,,essay
692,For the current  essay I give a total of 1  stars,,stars,current,1,,,essay
693,Rate the current  textbook a 0 out of 6 .,6,,current,0,,,textbook
694,I want to give The Coming of the Terraphiles a rating of 1 .,,,,1,,The Coming of the Terraphiles,
695,Rate my current  book  1 out of 6,6,,current,1,,,book
696,I am giving the book  After Henry a rating of 0 out of 6  stars,6,stars,,0,,After Henry,book
697,Rate this  album  one value,,,this,one,,,album
698,rate With Kitchener in the Soudan  2  stars out of 6,6,stars,,2,,With Kitchener in the Soudan,
699,The current  essay gets four  points,,points,current,four,,,essay
700,Rate this  textbook  2  points .,,points,this,2,,,textbook
701,Rate current  book  two  points,,points,current,two,,,book
702,I would give the All That: Fresh out the Box  saga a rating of 2  points,,points,,2,saga,All That: Fresh out the Box,
703,Rate 3 out of 6  points to Darkworld Detective,6,points,,3,,Darkworld Detective,
704,Rate this  novel  5 out of 6  stars,6,stars,this,5,,,novel
705,I'd give The Mystery of the 99 Steps  three  stars out of 6,6,stars,,three,,The Mystery of the 99 Steps,
706,I give 4 of 6  stars for the saga  A Severe Mercy,6,stars,,4,saga,A Severe Mercy,
707,Rate this  album  three out of 6 ,6,,this,three,,,album
708,I want to give the current  textbook  0 out of 6  stars,6,stars,current,0,,,textbook
709,Rate this  album  2  stars,,stars,this,2,,,album
710,give 5 out of 6  points to Myths of the Hindus & Buddhists,6,points,,5,,Myths of the Hindus & Buddhists,
711,the previous  book is five out of 6  stars,6,stars,previous,five,,,book
712,give four  points to this  novel,,points,this,four,,,novel
713,Rate current  novel  two  stars,,stars,current,two,,,novel
714,Rate the current  essay  four out of 6 .,6,,current,four,,,essay
715,Rate The Coming of Bill  3 of 6  stars,6,stars,,3,,The Coming of Bill,
716,Rate this  essay  4 out of 6  stars ,6,stars,this,4,,,essay
717,The current  series deserves three  stars .,,stars,current,three,series,,
718,Give The Turning Point a 0 out of 6 .,6,,,0,,The Turning Point,
719,rate the book  Indiana Jones and the Dance of the Giants  5 out of 6  stars,6,stars,,5,,Indiana Jones and the Dance of the Giants,book
720,rate The Descendants  two  points,,points,,two,,The Descendants,
721,give Rathinirvedam a rating of 3 out of 6,6,,,3,,Rathinirvedam,
722,Rate Equal Affections  one  points,,points,,one,,Equal Affections,
723,Rate this  book  one  stars,,stars,this,one,,,book
724,rate Cock and Bull  5 of 6  points,6,points,,5,,Cock and Bull,
725,I think this  novel gets 1  stars,,stars,this,1,,,novel
726,Rate The Making of a Teacher a two,,,,two,,The Making of a Teacher,
727,Rate this  textbook  1  stars,,stars,this,1,,,textbook
728,I wish to give this  textbook a zero out of 6  points,6,points,this,zero,,,textbook
729,rate this  book  2  stars,,stars,this,2,,,book
730,rate the last  book  0  stars,,stars,last,0,,,book
731,I give the Flash  series  0 out of 6 .,6,,,0,series,Flash,
732,I think that this  book deserves a 3,,,this,3,,,book
733,Give the current  chronicle  2  stars .,,stars,current,2,chronicle,,
734,rate the current  saga  one  stars,,stars,current,one,saga,,
735,Rate the current  album  3  points,,points,current,3,,,album
736,Rate Peter and the Sword of Mercy  3 of 6  stars,6,stars,,3,,Peter and the Sword of Mercy,
737,rate The Lost Hero  chronicle  four out of 6,6,,,four,chronicle,The Lost Hero,
738,Out of 6  stars I give the chronicle  three and look forward to what's next .,6,stars,next,three,chronicle,,
739,Give Souls in Metal  four out of 6  points,6,points,,four,,Souls in Metal,
740,For the book  Tale of the Toa I give five  points ,,points,,five,,Tale of the Toa,book
741,I give The Prestige a rating of 5,,,,5,,The Prestige,
742,I give the Budayeen Nights  saga  five out of 6  points .,6,points,,five,saga,Budayeen Nights,
743,rate The Key Word and Other Mysteries  4 of 6,6,,,4,,The Key Word and Other Mysteries,
744,Rate this  textbook  4  stars .,,stars,this,4,,,textbook
745,Give the current  novel a 3 out of 6 rating,6,,current,3,,,novel
746,Rate the Deception  chronicle  one of 6  points,6,points,,one,chronicle,Deception,
747,3  stars is the rating for Boy Meets Boy,,stars,,3,,Boy Meets Boy,
748,Rate The Summer Job  5  stars,,stars,,5,,The Summer Job,
749,I give the following  saga a 5 .,,,following,5,saga,,
750,Rate my current  novel  one out of 6  points,6,points,current,one,,,novel
751,Rate this  book  0  points out of 6,6,points,this,0,,,book
752,Rate this  series  one out of 6 .,6,,this,one,series,,
753,this  album deserves to be rated one out of 6 !,6,,this,one,,,album
754,Rate From a Buick 8  0 out of 6,6,,,0,,From a Buick 8,
755,Give the current  essay a rating of zero out of 6  stars .,6,stars,current,zero,,,essay
756,give 2 for this  essay,,,this,2,,,essay
757,give Mistborn: The Well of Ascension  four out of 6,6,,,four,,Mistborn: The Well of Ascension,
758,Rate A Faint Cold Fear  0  points,,points,,0,,A Faint Cold Fear,
759,Rate this  novel a 3,,,this,3,,,novel
760,rate the current  album  2 out of 6,6,,current,2,,,album
761,Give a 4 star rating to Fear and Loathing on the Campaign Trail ’72,,,,4,,Fear and Loathing on the Campaign Trail ’72,
762,Rate current  textbook  5 out of 6,6,,current,5,,,textbook
763,Rat Short Trips: A Christmas Treasury a 3,,,,3,,Short Trips: A Christmas Treasury,
764,I'd give The Hundred Thousand Kingdoms a three of 6,6,,,three,,The Hundred Thousand Kingdoms,
765,this  chronicle is a zero out of 6 .,6,,this,zero,chronicle,,
766,Rate CIA World Factbook  five out of 6  stars,6,stars,,five,,CIA World Factbook,
767,rate the Poems for Midnight  saga  4  points,,points,,4,saga,Poems for Midnight,
768,give four out of 6  stars for this  chronicle,6,stars,this,four,chronicle,,
769,the next  essay gets 2 out of 6  stars,6,stars,next,2,,,essay
770,The current  album gets three out of 6  points,6,points,current,three,,,album
771,I would rate this  essay a one and a best rating of 6,6,,this,one,,,essay
772,rate this  book  four out of 6  points,6,points,this,four,,,book
773,rate the previous  novel a 1 out of 6,6,,previous,1,,,novel
774,For this current  textbook I give 4  stars,,stars,current,4,,,textbook
775,rate this  saga  1  points,,points,this,1,saga,,
776,Rate The Black Mask  1 of 6  stars,6,stars,,1,,The Black Mask,
777,rate The Princess Mouse: A Tale of Finland  one of 6,6,,,one,,The Princess Mouse: A Tale of Finland,
778,The current  series only deserves two out of 6 .,6,,current,two,series,,
779,the horrible current  essay gets only a 0 out of 6,6,,current,0,,,essay
780,They Knew Mr. Knight should get out of 6 a rating of two,6,,,two,,They Knew Mr. Knight,
781,Rate this  textbook only three  points,,points,this,three,,,textbook
782,Rate Phoenix: The Fall & Rise of Videogames  one  points out of 6,6,points,,one,,Phoenix: The Fall & Rise of Videogames,
783,I would give this current  chronicle  three  points,,points,current,three,chronicle,,
784,I'd give the Main-Travelled Roads  series  0  points out of 6,6,points,,0,series,Main-Travelled Roads,
785,I rate the current  saga  0  points and a best rating of 6,6,points,current,0,saga,,
786,Rate The A-Z Guide to Arranged Marriage  0 of 6,6,,,0,,The A-Z Guide to Arranged Marriage,
787,Give the current  album  1 star,,,current,1,,,album
