,text,playlist_owner,music_item,entity_name,artist,playlist
524,Can I put johnny burke onto my  lo que suena los angeles playlist?,my,,,johnny burke,lo que suena los angeles
525,Add the 3rd world to my  focus now,my,,the 3rd world,,focus now
526,add eric moo to women of jazz,,,,eric moo,women of jazz
527,Add a track to Fusion Fest,,track,,,Fusion Fest
528,add this extended play to Women's Lit playlist,,,extended play,,Women's Lit
529,please add this album to the playlist titled Hip Hop 2017 New School,,album,,,Hip Hop 2017 New School
530,add a track in Nike Running Tempo Mix,,track,,,Nike Running Tempo Mix
531,put this song by rayvon on my  all out 80s playlist,my,song,,rayvon,all out 80s
532,Add album to my  grandes unplugged,my,album,,,grandes unplugged
533,Can you put a song by Rick Astley on my  hot 50 playlist,my,song,,Rick Astley,hot 50
534,put Ron Grainer on my  disco fever playlist,my,,,Ron Grainer,disco fever
535,Add afdlin shauki to La Mejor MÃºsica Dance 2017,,,,afdlin shauki,La Mejor MÃºsica Dance 2017
536,Add song to my  underground hits,my,song,,,underground hits
537,Add Roots of the Outsiders to Blues Roots,,,Roots of the Outsiders,,Blues Roots
538,put Bring Me Down onto my  tokyo rising playlist,my,,Bring Me Down,,tokyo rising
539,Add Kevin Ridel to instrumental madness,,,,Kevin Ridel,instrumental madness
540,On lea's  saturday night playlist add the name D Generation,lea's,,D Generation,,saturday night
541,Add artist  Leonard Cohen to my  indie brazuca,my,artist,,Leonard Cohen,indie brazuca
542,Add a norma jean  tune to the Soul Revived playlist.,,tune,,norma jean,Soul Revived
543,add this song to wedding classics playlist,,song,,,wedding classics
544,Add this song to my  roadrunner rec new releases list.,my,song,,,roadrunner rec new releases
545,Can you add something from Method Man to my  this is mozart playlist,my,,,Method Man,this is mozart
546,put Pause on my  DÃ­as de FrÃ­o playlist,my,,Pause,,DÃ­as de FrÃ­o
547,add the current artist to my  top 100 pop tracks on spotify playlist,my,artist,,,top 100 pop tracks on spotify
548,Add jack scott to my  fantasÃ­a playlist,my,,,jack scott,fantasÃ­a
549,please put Book of Love on my  NTC High Intensity Training Tracks playlist,my,,Book of Love,,NTC High Intensity Training Tracks
550,Add a billy strayhorn  song to my  the selektor playlist,my,song,,billy strayhorn,the selektor
551,add tune to my  relax & unwind playlist,my,tune,,,relax & unwind
552,Add Stephanie Biddle to my  Digster Reggae playlist,my,,,Stephanie Biddle,Digster Reggae
553,add song by ian mcdonald to an instrumental sunday ,,song,,ian mcdonald,an instrumental sunday
554,put this track on soul bpm  my playlist,my,track,,,soul bpm
555,Add another MC chris  track to my  Blues Roots playlist.,my,track,,MC chris,Blues Roots
556,add people take pictures of each other to Rhythm and Blues playlist,,,people take pictures of each other,,Rhythm and Blues
557,add the song  don't drink the water to my playlist,my,song,,,don't drink the water
558,add git to Domingo Indie,,,git,,Domingo Indie
559,Add kaya newest track to my  I Love My '00's R&B playlist,my,track,,kaya,I Love My '00's R&B
560,find lesley's  epic classical playlist and add this tune,lesley's,tune,,,epic classical
561,Please add the song by Sunil Santha to my  Pre-Party R&B Jams list,my,song,,Sunil Santha,Pre-Party R&B Jams
562,add this is AndrÃ©s Calamaro by Milk ,,,Milk,,this is AndrÃ©s Calamaro
563,Add Come on Feel the Lemonheads to my  salsa classics playlist.,my,,Come on Feel the Lemonheads,,salsa classics
564,this track should go into my playlist called This Is Beethoven,my,track,,,This Is Beethoven
565,Add live around the world to crossroad blues,,,live around the world,,crossroad blues
566,put a xiang xiang  track onto women of the blues,,track,,xiang xiang,women of the blues
567,Can you add a tune by natalie macmaster to my  viajes playlist,my,tune,,natalie macmaster,viajes
568,"add kansas city, missouri to Stress Relief",,,,"kansas city, missouri",Stress Relief
569,add farruko presenta los menores to my  amor amor playlist,my,,farruko presenta los menores,,amor amor
570,Add Jarvis Cocker to my  Chillin' on a Dirt Road playlist,my,,,Jarvis Cocker,Chillin' on a Dirt Road
571,Add artist to ina's  2010s smash hits,ina's,artist,,,2010s smash hits
572,Add another song to the acoustic soul playlist,,song,,,acoustic soul
573,put donnie g don gorilla on my  classical romance playlist,my,,donnie g don gorilla,,classical romance
574,I'd like for you to put this artist to my  Evening Commute playlist.,my,artist,,,Evening Commute
575,Add don sebesky  song to The Refugee Playlist,,song,,don sebesky,The Refugee Playlist
576,Add tune to Reggae Infusions,,tune,,,Reggae Infusions
577,my  indietronic playlist needs until the end of time added,my,,until the end of time,,indietronic
578,add the current tune to my  Rock Gaming playlist,my,tune,,,Rock Gaming
579,add LISA to my playlist Street Dance,my,,,LISA,Street Dance
580,add album to mellow bars,,album,,,mellow bars
581,Add an album to my list clÃ¡sicos de fogata,my,album,,,clÃ¡sicos de fogata
582,The feel good indie rock playlist needs another song ,,song,,,feel good indie rock
583,Add Barry McGuire to my playlist called have a laugh .,my,,,Barry McGuire,have a laugh
584,add tune  Papa Bue to Ã©xitos espaÃ±a playlist,,tune,,Papa Bue,Ã©xitos espaÃ±a
585,add the track by apostolos nikolaidis to the This Is Luis Fonsi playlist,,track,,apostolos nikolaidis,This Is Luis Fonsi
586,Can you add don moye to my  Pop playlist?,my,,,don moye,Pop
587,please put this artist into my  Lo mejor de Radio 3 playlist,my,artist,,,Lo mejor de Radio 3
588,I want to put Land of the Dead into my  Big Daddy's Booze & Blues playlist.,my,,Land of the Dead,,Big Daddy's Booze & Blues
589,add zombieland to NoctÃ¡mbulo playlist,,,zombieland,,NoctÃ¡mbulo
590,Add Warm and Beautiful to the ironing playlist.,,,Warm and Beautiful,,ironing
591,Add this track to my  lo que suena new york playlist,my,track,,,lo que suena new york
592,put track on my  synth pop list,my,track,,,synth pop
593,add kasey chambers to my  political punks playlist,my,,,kasey chambers,political punks
594,Add a track to the El Mejor Pop en EspaÃ±ol playlist.,,track,,,El Mejor Pop en EspaÃ±ol
595,please put this track onto letha's  signed xoxo playlist,letha's,track,,,signed xoxo
596,Add this album to my  US Latin Top 50 palylist,my,album,,,US Latin Top 50
597,Add shake your rump to my  concentraciÃ³n indie rock playlist,my,,shake your rump,,concentraciÃ³n indie rock
598,add arthur lee to my  jazz vibes playlist,my,,,arthur lee,jazz vibes
599,Add Priscilla to my playlist Classical Dance Music Ballet & Beyond,my,,,Priscilla,Classical Dance Music Ballet & Beyond
600,add Ghost on the Dance Floor to my  Autumn Lounge playlist,my,,Ghost on the Dance Floor,,Autumn Lounge
601,Add jonny buckland to my playlist weekly buzz,my,,,jonny buckland,weekly buzz
602,Include stefanie in Pre-Party R&B Jams,,,stefanie,,Pre-Party R&B Jams
603,I want my  Reggae Infusions playlist to have Plaid Retina on it.,my,,,Plaid Retina,Reggae Infusions
604,Add artist to playlist Classic Punk,,artist,,,Classic Punk
605,Add this album to holly's  bandas sonoras playlist,holly's,album,,,bandas sonoras
606,The Hot House playlist needs another album,,album,,,Hot House
607,add song by emmy rossum to Hit Rewind,,song,,emmy rossum,Hit Rewind
608,Add this tune to the Spinnin' Records Top 100 list,,tune,,,Spinnin' Records Top 100
609,add this track to the playlist hits of the 70s,,track,,,hits of the 70s
610,add album to my  Deathcore playlist,my,album,,,Deathcore
611,Put Targeted in my  Clapton Chronicles The Best of Eric Clapton playlist.,my,,Clapton Chronicles The Best of Eric Clapton,,Targeted
612,add this song to my  Classical Dance Music Ballet & Beyond list,my,song,,,Classical Dance Music Ballet & Beyond
613,Add another song to daphne's  retrowave outrun playlist.,daphne's,song,,,retrowave outrun
614,Add When You Come Back to the jazz for loving couples playlist.,,,When You Come Back,,jazz for loving couples
615,Add a track to summer of love,,track,,,summer of love
616,put frank farian on my  Deep Dark Indie Folk playlist,my,,,frank farian,Deep Dark Indie Folk
617,add josefina pla to isabelle's  Guest List GamesRadar playlist,isabelle's,,,josefina pla,Guest List GamesRadar
618,add Iâm Only a Man to my  flow espaÃ±ol,my,,Iâm Only a Man,,flow espaÃ±ol
619,Add an album by Jenifer to my  travelling playlist,my,album,,Jenifer,travelling
620,add Heat of the Night to my  Novedades Viernes SudamÃ©rica playlist,my,,Heat of the Night,,Novedades Viernes SudamÃ©rica
621,add artist to my  Phunkadelic playlist,my,artist,,,Phunkadelic
622,Play Elizeth Cardoso to my  Nothing But A Party R&B playlist,my,,,Elizeth Cardoso,Nothing But A Party R&B
623,"put this song in my  funk playlist, please",my,song,,,funk
624,"add Aprite le finestre to my  This Is Earth, Wind & Fire playlist",my,,Aprite le finestre,,"This Is Earth, Wind & Fire"
625,Put the joy division the complete bbc recordings on 40 hits,,,joy division the complete bbc recordings,,40 hits
626,Please put maimi yajima 's song onto OperaciÃ³n Bikini .,,song,,maimi yajima,OperaciÃ³n Bikini
627,Can you add a eviatar banai  album to my  tgif playlist,my,album,,eviatar banai,tgif
628,add the ragged curtain onto the playlist called party through the decades,,,the ragged curtain,,party through the decades
629,Add Joey Fatone to my  Spotlight on Country 2016 playlist,my,,,Joey Fatone,Spotlight on Country 2016
630,Add the tune to bandas sonoras,,tune,,,bandas sonoras
631,Add First Issue to my  your favorite slaughterhouse playlist,my,,First Issue,,your favorite slaughterhouse
632,Add natasha to my  All Things Post playlist,my,,natasha,,All Things Post
633,Add another album to my  this is pavarotti playlist.,my,album,,,this is pavarotti
634,add erik santos in my playlist Metal Xplorer,my,,,erik santos,Metal Xplorer
635,add artist to my  Trance Life group,my,artist,,,Trance Life
636,Add the name as with gladness men of old to my  ultimate 90s playlist,my,,as with gladness men of old,,ultimate 90s
637,Add what child is this to Dark Dance Floors,,,what child is this,,Dark Dance Floors
638,Put jiro in my  clÃ¡sicos del hip hop espaÃ±ol playlist.,my,,,jiro,clÃ¡sicos del hip hop espaÃ±ol
639,add this tune to my  fresh finds hiptronix playlist,my,tune,,,fresh finds hiptronix
640,"add already over, pt 2 to Hip Hop 2017 New School",,,"already over, pt 2",,Hip Hop 2017 New School
641,add song by charlie hunter to Rumba y mÃ¡s,,song,,charlie hunter,Rumba y mÃ¡s
642,I need another artist in the romÃ¡ntica playlist.,,artist,,,romÃ¡ntica
643,add Jacob Hoggard to my  get going playlist,my,,,Jacob Hoggard,get going
644,Put Jazzy B on Lazy Chill Afternoon playlist,,,,Jazzy B,Lazy Chill Afternoon
645,The dubstep dangles dirty playlist needs Digital at Montreux in it,,,Digital at Montreux,,dubstep dangles dirty
646,Add a tune to clÃ¡sicos del hip hop espaÃ±ol,,tune,,,clÃ¡sicos del hip hop espaÃ±ol
647,add dark days in paradise to my  gym playlist,my,,dark days in paradise,,gym
648,Put this album on my  wine & dine playlist,my,album,,,wine & dine
649,add tune to NUSIC,,tune,,,NUSIC
650,add iemand als jij to my playlist named In The Name Of Blues,my,,iemand als jij,,In The Name Of Blues
651,add this album by richard hell to arlene's playlist named miami 2017 guest list,arlene's,album,,richard hell,miami 2017 guest list
652,add this track to my  Comedy New Releases,my,track,,,Comedy New Releases
653,Can 50 minute technicolor dream be added to meredith's  Cierra La Puerta playlist?,meredith's,,50 minute technicolor dream,,Cierra La Puerta
654,add this artist to my  Jazz playlist,my,artist,,,Jazz
655,Add New Wave Blues to my  Push Button Funk playlist,my,,New Wave Blues,,Push Button Funk
656,Put Mike McCready in the kitchen swagger playlist.,,,,Mike McCready,kitchen swagger
657,Add a song from Randy Rhoads to my  50 ClÃ¡sicos playlist,my,song,,Randy Rhoads,50 ClÃ¡sicos
658,add i pledge allegiance to the grind to my  SinfonÃ­a Hipster playlist,my,,i pledge allegiance to the grind,,SinfonÃ­a Hipster
659,Add Ultimatum to my  crash course playlist,my,,Ultimatum,,crash course
660,Add another track to my  Women of Latin Music playlist,my,track,,,Women of Latin Music
661,Add an andy hurley  album to my  transatlantic lullaby list,my,album,,andy hurley,transatlantic lullaby
662,add this artist to my playlist named funtime,my,artist,,,funtime
663,Add this song to my list called The Birth of Cool,my,song,,,The Birth of Cool
664,Add this Nozomi Tsuji  tune to my  Hot House playlist,my,tune,,Nozomi Tsuji,Hot House
665,add alexandra govere to my  anochecer urbano playlist,my,,,alexandra govere,anochecer urbano
666,Add a track to my  hands up playlist.,my,track,,,hands up
667,Add Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side to edna st vincent millay,,,Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side,,edna st vincent millay
668,Add another album to my  keep calm playlist.,my,album,,,keep calm
669,Include Brandon Paris in The MetalSucks Playlist,,,,Brandon Paris,The MetalSucks Playlist
670,Add artist to showstopper being mary jane,,artist,,,showstopper being mary jane
671,add apathy to my  electro sur playlist,my,,,apathy,electro sur
672,Add ChÃ©r to the Still Got the Blues playlist,,,ChÃ©r,,Still Got the Blues
673,Add this track to my  Rock Hard playlist,my,track,,,Rock Hard
674,Can you put tire me onto my  new music friday latin playlist?,my,,tire me,,new music friday latin
675,Add a gackt camui  track to the White Noise playlist.,,track,,gackt camui,White Noise
676,I want to add un jour dans notre vie to my list running to rock 170 to 190 bpm,my,,un jour dans notre vie,,running to rock 170 to 190 bpm
677,Put Al Jarreau on the ConcentraciÃ³n playlist,,,,Al Jarreau,ConcentraciÃ³n
678,Add song to my  pure rock & roll,my,song,,,pure rock & roll
679,add track to Punk Essentials,,track,,,Punk Essentials
680,add the man who never lied to my current comedy top tracks,my,,the man who never lied,,comedy top tracks
681,Can you add some morton feldman piano and string quartet to my  global funk playlist,my,,morton feldman piano and string quartet,,global funk
682,"Add Perfect Sense, Part I to my  women of classical list",my,,"Perfect Sense, Part I",,women of classical
683,add song to marta's  endorphin rush playlist,marta's,song,,,endorphin rush
684,Add to my  Rumba y mÃ¡s playlist the song by haley scarnato,my,song,,haley scarnato,Rumba y mÃ¡s
685,Add louis nelson delisle to the pulse of americana,,,,louis nelson delisle,the pulse of americana
686,Add janie jones to my  Indie Pop,my,,janie jones,,Indie Pop
687,Play Rock This playlist with Badonviller Marsch,,,Badonviller Marsch,,Rock This
688,ad this track by Isobel Campbell to my  Folk for Kids list,my,track,,Isobel Campbell,Folk for Kids
689,Add this tune to my  post metal playlist,my,tune,,,post metal
690,Add garry shider  album to my  classical essentials,my,album,,garry shider,classical essentials
691,Add shi xin hui to my  piano chill playlist.,my,,,shi xin hui,piano chill
692,add Fabri Fibra to The Birth of Cool,,,,Fabri Fibra,The Birth of Cool
693,add Gary Lachman  track to jazz for loving couples playlist,,track,,Gary Lachman,jazz for loving couples
694,I want another artist on my  atmospheric black metal playlist,my,artist,,,atmospheric black metal
695,add this track to Punk Rock Workout,,track,,,Punk Rock Workout
696,Add beijing huanying ni to my  workday lounge playlist,my,,beijing huanying ni,,workday lounge
697,add dj clay to my  canciones del recuerdo,my,,,dj clay,canciones del recuerdo
698,I want to add Kiara to my  Digster Future Hits playlist,my,,,Kiara,Digster Future Hits
699,Add the tune by Cassie Ventura to my  genre bender playlist,my,tune,,Cassie Ventura,genre bender
700,Put hampartsoum limondjian in running to rock 170 to 190 bpm,,,,hampartsoum limondjian,running to rock 170 to 190 bpm
701,Put King of America onto the playlist with the title a sudden rainstorm,,,King of America,,a sudden rainstorm
702,add back porch spirituals to my  Hit Remix playlist,my,,back porch spirituals,,Hit Remix
703,"add Tinker, Tailor to my playlist titled this is trey songz",my,,"Tinker, Tailor",,this is trey songz
704,Put sleeping with ghosts into my  90s Indie playlist.,my,,sleeping with ghosts,,90s Indie
705,add this album to my  party with friends,my,album,,,party with friends
706,"Add crying, waiting, hoping to my  weekly buzz playlist.",my,,"crying, waiting, hoping",,weekly buzz
707,Add tune to my  hot 50,my,tune,,,hot 50
708,add jason webley to Classical Intimate Dinner playlist,,,,jason webley,Classical Intimate Dinner
709,Add track to my  Peaceful Piano,my,track,,,Peaceful Piano
710,Add the current tune to my  Evening Groove list,my,tune,,,Evening Groove
711,Add this John Tesh  tune to the friendesemana playlist,,tune,,John Tesh,friendesemana
712,Add an album to Women of Hip Hop,,album,,,Women of Hip Hop
713,Add The âChirpingâ Crickets to my  Mellowed Out Gaming playlist,my,,The âChirpingâ Crickets,,Mellowed Out Gaming
714,Put an album by Mohammad Reza Shadjarian in my  Chillin' on a Dirt Road playlist.,my,album,,Mohammad Reza Shadjarian,Chillin' on a Dirt Road
715,Add tunnel rats to my  Rhythm and Blues playlist,my,,tunnel rats,,Rhythm and Blues
716,Add song to top 100 country tracks on spotify ,,song,,,top 100 country tracks on spotify
717,Add a Mary Fahl  tune to the Pre-Party R&B Jams playlist.,,tune,,Mary Fahl,Pre-Party R&B Jams
718,please put this tune on the irish folk â jigs & reels playlist,,tune,,,irish folk â jigs & reels
719,put Sonntagskind onto the playlist called soulful disco,,,Sonntagskind,,soulful disco
720,"Add Nazad, nazad, Kalino mome to Escapada",,,"Nazad, nazad, Kalino mome",,Escapada
721,add my hands to travelling playlist,,,my hands,,travelling
722,add back on the dancefloor to my  bajo las estrellas playlist,my,,back on the dancefloor,,bajo las estrellas
723,Add Munawar Ali Khan to my  mujeres y hombres y fiesta,my,,,Munawar Ali Khan,mujeres y hombres y fiesta
724,add maggie mcgill to my  night vibes,my,,maggie mcgill,,night vibes
725,add the artist to my  emotron playlist,my,artist,,,emotron
726,Add suffer little children to this is racionais mc's playlist,,,suffer little children,,this is racionais mc's
727,Add Jermaine Fagan to spring music,,,,Jermaine Fagan,spring music
728,Include golden boy in Pop Dance,,,golden boy,,Pop Dance
729,put this dave abbruzzese  tune on Family Road Trip,,tune,,dave abbruzzese,Family Road Trip
730,Add knocked out loaded to the spring vibes playlist.,,,knocked out loaded,,spring vibes
731,Add even serpents shine to dorothea's  indie hipster playlist,dorothea's,,even serpents shine,,indie hipster
732,add madlib invazion to my  prog rock monsters list,my,,madlib invazion,,prog rock monsters
733,Add Bone Crusher to the chill out playlist,,,,Bone Crusher,chill out
734,Add this artist to my  Post-grunge playlist,my,artist,,,Post-grunge
735,Add Geschwisterliebe to my  string theory playlist.,my,,Geschwisterliebe,,string theory
736,Add iene miene mutte to Women of R&B playlist,,,iene miene mutte,,Women of R&B
737,"Add this track by Del tha Funkee Homosapien to the playlist songs for you, not your parents",,track,,Del tha Funkee Homosapien,"songs for you, not your parents"
738,I want this tune on my  Most Necessary playlist,my,tune,,,Most Necessary
739,Incorporate Ayumi Hamasaki Arena Tour 2009 A Next Level into my  MÃºsica Libre playlist.,my,,Ayumi Hamasaki Arena Tour 2009 A Next Level,,MÃºsica Libre
740,Add d roc the executioner to my  This Is ZezÃ© Di Camargo & Luciano playlist.,my,,,d roc the executioner,This Is ZezÃ© Di Camargo & Luciano
741,Add Nothing Can Stop Us to my  Lazy Chill Afternoon playlist.,my,,Nothing Can Stop Us,,Lazy Chill Afternoon
742,put frank farian on lydia's playlist called The Black Power Mixtape 1967 to 1975,lydia's,,,frank farian,The Black Power Mixtape 1967 to 1975
743,Can you put the album onto Cierra La Puerta ?,,album,,,Cierra La Puerta
744,Add Hanging On to my  just dance by aftercluv playlist.,my,,Hanging On,,just dance by aftercluv
745,Add tune to my  Para comer,my,tune,,,Para comer
746,Put journey to love onto Hip Hop 2017 New School .,,,journey to love,,Hip Hop 2017 New School
747,The trapaholics needs another artist added.,,artist,,,trapaholics
748,add Wing  track to All A Cappella,,track,,Wing,All A Cappella
749,add paul wickens to Lo mejor del Rock de EspaÃ±a,,,,paul wickens,Lo mejor del Rock de EspaÃ±a
750,put this album on my  dubstep dangles dirty playlist,my,album,,,dubstep dangles dirty
751,Put dschiwan gasparjan into the Cool Down playlist.,,,,dschiwan gasparjan,Cool Down
752,Add artist to my  working day,my,artist,,,working day
753,please add this artist to my  Zen Focus playlist,my,artist,,,Zen Focus
754,Add the track  BG Knocc Out to the rapcaviar playlist,,track,,BG Knocc Out,rapcaviar
755,Add the name x forza e x amore to the playlist Musica EspaÃ±ola 2017,,,x forza e x amore,,Musica EspaÃ±ola 2017
756,I want to move this album to the selektor playlist,,album,,,the selektor
757,add tolmatschowa schwestern to my  Street Dance playlist,my,,,tolmatschowa schwestern,Street Dance
758,Add the artist to my  Metal playlist.,my,artist,,,Metal
759,Add the frank beard  song to the Soft Pop Hits playlist,,song,,frank beard,Soft Pop Hits
760,add song to Trap Land,,song,,,Trap Land
761,I want do you want to build a snowman in my  Hip Hop 2017 New School playlist,my,,do you want to build a snowman,,Hip Hop 2017 New School
762,add this album to my  MediodÃ­a AcÃºstico playlist,my,album,,,MediodÃ­a AcÃºstico
763,add time flies 1994-2009 to the Jazzy Romance playlist,,,time flies 1994-2009,,Jazzy Romance
764,Please put David Van Tieghem onto my  throwback party playlist.,my,,,David Van Tieghem,throwback party
765,Add lisa dalbello to my  2015 CMA Awards Nominees list,my,,,lisa dalbello,2015 CMA Awards Nominees
766,I want you to add the currently playing This Generation into my playlist called funtime activity,my,,This Generation,,funtime activity
767,I want to add Hind Etin to my  La Mejor MÃºsica Dance 2017 playlist,my,,Hind Etin,,La Mejor MÃºsica Dance 2017
768,Add the artist  Gwenno Pipette to the sexy as folk playlist.,,artist,,Gwenno Pipette,sexy as folk
769,Add the song to the soundscapes for gaming playlist.,,song,,,soundscapes for gaming
770,Add night and day to my  Lazy Chill Afternoon playlist,my,,night and day,,Lazy Chill Afternoon
771,add this song to my  metal playlist,my,song,,,metal
772,put A L Lloyd on gaming anthems,,,,A L Lloyd,gaming anthems
773,Add fuzzy logic to latin dinner,,,fuzzy logic,,latin dinner
774,add the artist to my  southern gothic playlist,my,artist,,,southern gothic
775,put Unbound into found them first for me,,,Unbound,,found them first
776,The this is kevin johansen playlist needs The Lamb Lies Down on Broadway in it.,,,The Lamb Lies Down on Broadway,,this is kevin johansen
777,add Michael Hayvoronsky to Lo Que Suena Los Angeles,,,,Michael Hayvoronsky,Lo Que Suena Los Angeles
778,I want this album on my  Indie Alternativa playlist,my,album,,,Indie Alternativa
779,add tune to Morning Rhythm playlist,,tune,,,Morning Rhythm
780,please add george nooks to my  electronow playlist,my,,,george nooks,electronow
781,Put another artist in my  Opera 100 Spotify Picks playlist.,my,artist,,,Opera 100 Spotify Picks
782,put this song on my  NTC High Intensity Training Tracks playlist,my,song,,,NTC High Intensity Training Tracks
783,add tapper zukie to the all out 00s playlist,,,,tapper zukie,all out 00s
784,Add Tarja Turunen to my  Lo mejor de Radio 3 playlist,my,,,Tarja Turunen,Lo mejor de Radio 3
785,Add this track to the Evening Commute playlist,,track,,,Evening Commute
786,Add this artist to piano chill,,artist,,,piano chill
787,put Tony Rombola on my  novedades viernes sudamÃ©rica playlist,my,,,Tony Rombola,novedades viernes sudamÃ©rica
788,add Curious corn to Wild & Free Workout,,,Curious corn,,Wild & Free Workout
789,add the track to my playlist with the title showstopper being mary jane,my,track,,,showstopper being mary jane
790,add this song to clarice's  latino caliente playlist,clarice's,song,,,latino caliente
791,add the song to the Dub On The Beach playlist,,song,,,Dub On The Beach
792,Add name Me & the Rhythm to my  chill out music,my,,Me & the Rhythm,,chill out music
793,Add this artist to Metal Party,,artist,,,Metal Party
794,Add The Rebirth of Kirk Franklin to the Fiesta playlist.,,,The Rebirth of Kirk Franklin,,Fiesta
795,add Jovanotti to punk espaÃ±ol,,,,Jovanotti,punk espaÃ±ol
796,add this tune by harry connick jr to my  jazz brasileiro playlist,my,tune,,harry connick jr,jazz brasileiro
797,add Diarios de Bicicleta to my  la la playlist,my,,la la,,Diarios de Bicicleta
798,Can you add psycho to Canciones que lo van a petar ?,,,psycho,,Canciones que lo van a petar
799,add Love Story wa Totsuzen ni to the martin garrix show playlist,,,Love Story wa Totsuzen ni,,the martin garrix show
800,Add this piece to my  spotify orchestra cello playlist: colors of the wind,my,,colors of the wind,,spotify orchestra cello
801,Add a randy travis  song to Deep Dark Indie Folk,,song,,randy travis,Deep Dark Indie Folk
802,add this track to my playlist it's ok to like jazz,my,track,,,it's ok to like jazz
803,Add this lbc crew  tune to my  Rock Argentino Vol I playlist,my,tune,,lbc crew,Rock Argentino Vol I
804,add sheila e to my  i love my neo soul playlist,my,,,sheila e,i love my neo soul
805,put artist  paulinho da costa on my  Very Nearly Nashville playlist,my,artist,,paulinho da costa,Very Nearly Nashville
806,add stephanie mcintosh to I Love My 90s Hip Hop  my playlist,my,,,stephanie mcintosh,I Love My 90s Hip Hop
807,Add Shelby Lynne to my playlist This Is Luis Fonsi,my,,,Shelby Lynne,This Is Luis Fonsi
808,Add 12 Odd Future Songs to the Club Hits playlist.,,,12 Odd Future Songs,,Club Hits
809,add lunacy to my  chill out playlist,my,,lunacy,,chill out
810,Please add a track from jeff mills to my  hiphop hot 50 playlist,my,track,,jeff mills,hiphop hot 50
811,Add this song onto my playlist entitled chill out .,my,song,,,chill out
812,Add Falcon to the Top Tracks in Metal playlist.,,,Falcon,,Top Tracks in Metal
813,Add the pop tarts to my  this is astor piazzolla playlist,my,,the pop tarts,,this is astor piazzolla
814,add this track to morning classical,,track,,,morning classical
815,Add Tony Kakko music to Street Dance playlist,,,,Tony Kakko,Street Dance
816,Add this tune to my  Rockabilly Mania,my,tune,,,Rockabilly Mania
817,Add Manuelita la tortuga to my  Nuestros 80 playlist,my,,Manuelita la tortuga,,Nuestros 80
818,add this album to rock en espaÃ±ol,,album,,,rock en espaÃ±ol
819,I'd like to add this whole album to the selektor ,,album,,,the selektor
820,Add Beverley Knight to my  mellow beats playlist,my,,,Beverley Knight,mellow beats
821,Add an espen lind  song to my list lo que suena new york,my,song,,espen lind,lo que suena new york
822,Add album to my  French N' Heavy list,my,album,,,French N' Heavy
823,Add Sveta ljubav to my  Metal Party playlist,my,,Sveta ljubav,,Metal Party
824,add this song to the Pre-Party playlist,,song,,,Pre-Party
825,add this track to Alternative Route,,track,,,Alternative Route
826,Add a track by BT to my  independent music monday playlist.,my,track,,BT,independent music monday
827,Add the tune from Leena Peisa to my  amor amor playlist.,my,tune,,Leena Peisa,amor amor
828,Add this tune to Morning Commute,,tune,,,Morning Commute
829,add song to my  Wild Country playlist,my,song,,,Wild Country
830,I want some fusil contra fusil added to my  dance hits playlist.,my,,fusil contra fusil,,dance hits
831,I want to add this tune by wheesung to my  queen list,my,tune,,wheesung,queen
832,Can you add a tune to my  Jazzy Romance playlist,my,tune,,,Jazzy Romance
833,add j r rotem to Classic Jazz Singers playlist,,,,j r rotem,Classic Jazz Singers
834,Add chen jiafeng to Ultimate 00s,,,,chen jiafeng,Ultimate 00s
835,Put an album by max richter into my  this is Rosana playlist.,my,album,,max richter,this is Rosana
836,I need to have pat alger 's album placed onto the spotlight spain 2016 playlist.,,album,,pat alger,spotlight spain 2016
837,Add no prejudice to 90s Indie,,,no prejudice,,90s Indie
838,Add an artist to the dÃ©cadas playlist.,,artist,,,dÃ©cadas
839,put dj green lantern on my  Targeted playlist,my,,,dj green lantern,Targeted
840,I want Tanya Stephens in my  35 Soul Classics 1970 to 1975 playlist.,my,,,Tanya Stephens,35 Soul Classics 1970 to 1975
841,Add this track to my  Dance Workout playlist,my,track,,,Dance Workout
842,add Butterfly House to nu metal,,,Butterfly House,,nu metal
843,Add My Belgian Rose to my  evening list,my,,My Belgian Rose,,evening
844,Add album to virales de siempre,,album,,,virales de siempre
845,Add this album to my  pop playlist,my,album,,,pop
846,Add thomas a dorsey to my  Big Band,my,,,thomas a dorsey,Big Band
847,add Teddy Boy to my  Irish Folk â Jigs & Reels playlist,my,,Teddy Boy,,Irish Folk â Jigs & Reels
848,add this track to my  party playlist,my,track,,,party
849,Add a guy is a guy to the infinite indie folk playlist.,,,a guy is a guy,,infinite indie folk
850,Add Nightmares That Surface from Shallow Sleep to michael's  Rock Solid playlist,michael's,,Nightmares That Surface from Shallow Sleep,,Rock Solid
851,I want another song in my  rock espaÃ±ol playlist.,my,song,,,rock espaÃ±ol
852,I want to add a song by jazz brasileiro,,song,,,jazz brasileiro
853,Add Ronski Speed to sweet soul chillout,,,,Ronski Speed,sweet soul chillout
854,Put another song in the Cloud Rap playlist.,,song,,,Cloud Rap
855,Put robbie robertson into my  chill out playlist.,my,,,robbie robertson,chill out
856,I want this artist on the Cena Elegante playlist,,artist,,,Cena Elegante
